year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,partido_1,partido_2,partido_3,partido_4,partido_5,partido_7,partido_8,partido_99
2012,43024,Bellvei,Tarragona,1495,CiU,30.65,#1e4a8e,No nacionalistas,53.35,#fa8c00,30.65,16.01,10.5,18.56,6.89,3.61,0.32,5.21
2012,43025,Benifallet,Tarragona,631,CiU,29.62,#1e4a8e,Nacionalismo/independentismo,60.58,#18a1cd,29.62,18.93,28.51,12.03,3.56,2.23,0.22,1.56
2012,43026,Benissanet,Tarragona,788,CiU,42.91,#1e4a8e,Nacionalismo/independentismo,80.33,#18a1cd,42.91,4.79,32.45,8.69,2.48,1.95,2.84,0.36
2012,43027,La Bisbal de Falset,Tarragona,177,CiU,70,#1e4a8e,Nacionalismo/independentismo,93.57,#18a1cd,70,0.71,22.14,3.57,0,1.43,0,1.43
2012,43028,La Bisbal del Penedès,Tarragona,2684,CiU,32.59,#1e4a8e,Nacionalismo/independentismo,53.59,#18a1cd,32.59,15.91,14.83,13.24,6.37,3.31,2.67,3.43
2012,43029,Blancafort,Tarragona,328,ERC,40.96,#e5ab4b,Nacionalismo/independentismo,83.53,#18a1cd,33.33,2.41,40.96,5.22,5.22,6.83,2.01,1.2000000000000002
2012,43030,Bonastre,Tarragona,449,CiU,40.62,#1e4a8e,Nacionalismo/independentismo,61.23,#18a1cd,40.62,5.85,13.23,11.69,7.69,2.15,5.23,4.63
2012,43031,Les Borges del Camp,Tarragona,1498,CiU,50.5,#1e4a8e,Nacionalismo/independentismo,76.07,#18a1cd,50.5,7.49,20.82,5.11,4.93,3.56,1.19,2.83
2012,43032,Bot,Tarragona,568,CiU,45.41,#1e4a8e,Nacionalismo/independentismo,67.76,#18a1cd,45.41,17.88,18.12,6.59,2.35,3.76,0.47,1.88
2012,43033,Botarell,Tarragona,776,CiU,43.44,#1e4a8e,Nacionalismo/independentismo,66.37,#18a1cd,43.44,8.32,16.27,10.54,6.1,5.55,1.11,2.2
2012,43034,Bràfim,Tarragona,479,CiU,46.22,#1e4a8e,Nacionalismo/independentismo,74.33,#18a1cd,46.22,6.49,25.41,9.46,4.05,1.89,0.54,1.62
2012,43035,Cabacés,Tarragona,274,CiU,57.29,#1e4a8e,Nacionalismo/independentismo,80.41,#18a1cd,57.29,2.51,13.07,10.55,3.52,6.53,3.52,1
2012,43036,Cabra del Camp,Tarragona,842,CiU,37.35,#1e4a8e,Nacionalismo/independentismo,59.03,#18a1cd,37.35,11.85,17.27,12.45,8.03,3.01,1,3.01
2012,43037,Calafell,Tarragona,16808,CiU,27.17,#1e4a8e,No nacionalistas,56.69,#fa8c00,27.17,16.44,10.57,16.89,9.3,2.88,0.98,4.36
2012,43038,Cambrils,Tarragona,20990,CiU,31.31,#1e4a8e,No nacionalistas,52.23,#fa8c00,31.31,12.62,11.09,19.74,7.01,2.35,1.38,3.57
2012,43039,Capafonts,Tarragona,110,CiU,42.55,#1e4a8e,Nacionalismo/independentismo,84.04,#18a1cd,42.55,2.13,22.34,10.64,2.13,19.15,0,1.06
2012,43040,Capçanes,Tarragona,338,CiU,36.88,#1e4a8e,Nacionalismo/independentismo,77.3,#18a1cd,36.88,7.09,28.72,7.45,5.67,10.28,1.42,1.06
2012,43041,Caseres,Tarragona,235,CiU,35,#1e4a8e,Nacionalismo/independentismo,51.11,#18a1cd,35,7.78,14.44,21.67,7.22,0,1.67,4.45
