year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,partido_1,partido_2,partido_3,partido_4,partido_5,partido_6,partido_7,partido_8,partido_99
1988,08079,L'Estany,Barcelona,309,CiU,79.41,#1e4a8e,Nacionalismo/independentismo,89.49,#18a1cd,79.41,4.62,0.42,4.2,10.08,0,NA,NA,0.84
1988,08080,Fígols,Barcelona,22,CiU,72.73,#1e4a8e,Nacionalismo/independentismo,72.73,#18a1cd,72.73,27.27,0,0,0,0,NA,NA,0
1988,08081,Fogars de Montclús,Barcelona,210,CiU,83.33,#1e4a8e,Nacionalismo/independentismo,89.58,#18a1cd,83.33,6.25,1.39,1.39,6.25,0.69,NA,NA,0.69
1988,08082,Fogars de la Selva,Barcelona,223,CiU,64.05,#1e4a8e,Nacionalismo/independentismo,66.01,#18a1cd,64.05,20.26,1.31,7.19,1.96,3.27,NA,NA,1.96
1988,08083,Folgueroles,Barcelona,846,CiU,70.8,#1e4a8e,Nacionalismo/independentismo,78.96,#18a1cd,70.8,10.99,4.24,0.94,8.16,2.04,NA,NA,1.73
1988,08084,Fonollosa,Barcelona,414,CiU,85.52,#1e4a8e,Nacionalismo/independentismo,92.21,#18a1cd,85.52,3.06,1.11,1.95,6.69,0.56,NA,NA,0.8400000000000001
1988,08085,Font-rubí,Barcelona,941,CiU,73.85,#1e4a8e,Nacionalismo/independentismo,79.28,#18a1cd,73.85,8.32,3.4,5.26,5.43,2.04,NA,NA,1.36
1988,08086,Les Franqueses del Vallès,Barcelona,6807,CiU,45.73,#1e4a8e,No nacionalistas,51.61,#fa8c00,45.73,40.61,3.15,2.21,2.38,2.38,NA,NA,3.26
1988,08087,Gallifa,Barcelona,60,CiU,61.7,#1e4a8e,Nacionalismo/independentismo,76.59,#18a1cd,61.7,4.26,2.13,6.38,14.89,0,NA,NA,6.39
1988,08088,La Garriga,Barcelona,6661,CiU,63.2,#1e4a8e,Nacionalismo/independentismo,67.67,#18a1cd,63.2,20.31,3.23,4.6,4.47,1.64,NA,NA,1.9
1988,08089,Gavà,Barcelona,24201,PSC,45.86,#da1f35,No nacionalistas,66.29,#fa8c00,31.3,45.86,7.98,4.31,1.95,4.83,NA,NA,3.31
1988,08090,Gaià,Barcelona,116,CiU,82.89,#1e4a8e,Nacionalismo/independentismo,89.47,#18a1cd,82.89,3.95,0,0,6.58,2.63,NA,NA,3.96
1988,08091,Gelida,Barcelona,2901,CiU,54.84,#1e4a8e,Nacionalismo/independentismo,58.81,#18a1cd,54.84,26.11,6.25,4.84,3.97,2.52,NA,NA,1.07
1988,08092,Gironella,Barcelona,4612,CiU,60.6,#1e4a8e,Nacionalismo/independentismo,67.27,#18a1cd,60.6,23.21,3,2.52,6.67,1.56,NA,NA,2.19
1988,08093,Gisclareny,Barcelona,29,CiU,61.9,#1e4a8e,Nacionalismo/independentismo,61.9,#18a1cd,61.9,38.1,0,0,0,0,NA,NA,0
1988,08094,La Granada,Barcelona,941,CiU,57.69,#1e4a8e,Nacionalismo/independentismo,70.05,#18a1cd,57.69,16.07,7.01,4.26,12.36,1.65,NA,NA,0.8300000000000001
