year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,votos_partido_1,votos_partido_2,votos_partido_3,votos_partido_4,votos_partido_5,votos_partido_6,votos_partido_8,votos_partido_99,por_voto_partido_1,por_voto_partido_2,por_voto_partido_3,por_voto_partido_4,por_voto_partido_5,por_voto_partido_6,por_voto_partido_8,por_voto_partido_99
2021,25005,Alàs i Cerc,Lleida,262,JxCat,31.14,#00c4b2,Nacionalismo/independentismo,68.27,#18a1cd,31,37,52,2,4,18,4,10,18.56,22.16,31.14,1.2,2.4,10.78,2.4,5.99
2021,25006,L'Albagés,Lleida,315,ERC,32.29,#e5ab4b,Nacionalismo/independentismo,63.02,#18a1cd,30,62,43,16,6,11,6,8,15.62,32.29,22.4,8.33,3.12,5.73,3.12,4.16
2021,25007,Albatàrrec,Lleida,1399,ERC,32.36,#e5ab4b,Nacionalismo/independentismo,66.39,#18a1cd,96,233,181,54,26,45,20,25,13.33,32.36,25.14,7.5,3.61,6.25,2.78,3.48
2021,25008,Albesa,Lleida,1089,ERC,36.67,#e5ab4b,Nacionalismo/independentismo,80.3,#18a1cd,54,227,191,9,13,62,24,20,8.72,36.67,30.86,1.45,2.1,10.02,3.88,3.23
2021,25009,L'Albi,Lleida,594,JxCat,37.16,#00c4b2,Nacionalismo/independentismo,76.03,#18a1cd,38,123,152,12,12,28,14,10,9.29,30.07,37.16,2.93,2.93,6.85,3.42,2.4299999999999997
2021,25010,Alcanó,Lleida,194,JxCat,37.21,#00c4b2,Nacionalismo/independentismo,84.49,#18a1cd,11,45,48,1,7,10,1,6,8.53,34.88,37.21,0.78,5.43,7.75,0.78,4.65
2021,25011,Alcarràs,Lleida,5289,ERC,31.41,#e5ab4b,Nacionalismo/independentismo,69.36,#18a1cd,321,773,638,163,61,154,73,167,13.04,31.41,25.92,6.62,2.48,6.26,2.97,6.78
2021,25012,Alcoletge,Lleida,2383,ERC,26.57,#e5ab4b,Nacionalismo/independentismo,61.78,#18a1cd,198,308,281,73,51,67,24,84,17.08,26.57,24.25,6.3,4.4,5.78,2.07,7.26
2021,25013,Alfarràs,Lleida,2072,JxCat,31.2,#00c4b2,Nacionalismo/independentismo,60.33,#18a1cd,234,230,331,58,24,51,43,36,22.05,21.68,31.2,5.47,2.26,4.81,4.05,3.3800000000000003
2021,25014,Alfés,Lleida,250,ERC,36.59,#e5ab4b,Nacionalismo/independentismo,90.86,#18a1cd,8,60,45,0,4,16,0,29,4.88,36.59,27.44,0,2.44,9.76,0,17.68
2021,25015,Algerri,Lleida,347,JxCat,35.41,#00c4b2,Nacionalismo/independentismo,82.3,#18a1cd,15,73,74,5,4,19,7,6,7.18,34.93,35.41,2.39,1.91,9.09,3.35,2.87
2021,25016,Alguaire,Lleida,2074,JxCat,34.6,#00c4b2,Nacionalismo/independentismo,78.95,#18a1cd,126,361,383,22,26,80,28,54,11.38,32.61,34.6,1.99,2.35,7.23,2.53,4.87
2021,25017,Alins,Lleida,231,JxCat,30.72,#00c4b2,Nacionalismo/independentismo,77.77,#18a1cd,21,39,47,0,5,12,3,23,13.73,25.49,30.72,0,3.27,7.84,1.96,15.02
2021,25019,Almacelles,Lleida,4591,ERC,26.77,#e5ab4b,Nacionalismo/independentismo,59.5,#18a1cd,361,544,476,128,105,112,102,101,17.77,26.77,23.43,6.3,5.17,5.51,5.02,4.98
2021,25020,Almatret,Lleida,272,JxCat,37.06,#00c4b2,Nacionalismo/independentismo,78.18,#18a1cd,13,53,73,11,4,10,6,20,6.6,26.9,37.06,5.58,2.03,5.08,3.05,10.16
2021,25021,Almenar,Lleida,2527,ERC,37.81,#e5ab4b,Nacionalismo/independentismo,75.14,#18a1cd,175,473,320,44,31,83,19,76,13.99,37.81,25.58,3.52,2.48,6.63,1.52,6.08
2021,25022,Alòs de Balaguer,Lleida,103,JxCat,38.71,#00c4b2,Nacionalismo/independentismo,79.04,#18a1cd,6,19,24,0,4,2,1,4,9.68,30.65,38.71,0,6.45,3.23,1.61,6.45
2021,25023,Alpicat,Lleida,4642,JxCat,27.84,#00c4b2,Nacionalismo/independentismo,65.89,#18a1cd,376,677,739,197,73,141,98,216,14.17,25.51,27.84,7.42,2.75,5.31,3.69,8.14
2021,25024,Alt Àneu,Lleida,366,JxCat,35.22,#00c4b2,Nacionalismo/independentismo,87.04,#18a1cd,25,82,87,1,2,31,2,15,10.12,33.2,35.22,0.4,0.81,12.55,0.81,6.07
2021,25025,Naut Aran,Lleida,1417,PSC,25.83,#da1f35,No nacionalistas,61.48,#fa8c00,179,106,95,113,26,33,43,36,25.83,15.3,13.71,16.31,3.75,4.76,6.2,5.21
2021,25027,Anglesola,Lleida,971,JxCat,39.61,#00c4b2,Nacionalismo/independentismo,82.95,#18a1cd,15,194,223,27,16,21,12,32,2.66,34.46,39.61,4.8,2.84,3.73,2.13,5.6899999999999995
2021,25029,Arbeca,Lleida,1581,JxCat,33.96,#00c4b2,Nacionalismo/independentismo,78.93,#18a1cd,112,306,324,17,27,91,25,37,11.74,32.08,33.96,1.78,2.83,9.54,2.62,3.86
2021,25030,El Pont de Bar,Lleida,133,JxCat,36.49,#00c4b2,Nacionalismo/independentismo,86.49,#18a1cd,4,19,27,1,3,15,1,3,5.41,25.68,36.49,1.35,4.05,20.27,1.35,4.05
2021,25031,Arres,Lleida,55,PSC,37.93,#da1f35,No nacionalistas,68.97,#fa8c00,11,2,3,5,0,1,2,1,37.93,6.9,10.34,17.24,0,3.45,6.9,3.45
2021,25032,Arsèguel,Lleida,65,ERC,46.51,#e5ab4b,Nacionalismo/independentismo,83.72,#18a1cd,2,20,9,1,1,6,0,3,4.65,46.51,20.93,2.33,2.33,13.95,0,6.99
2021,25033,Artesa de Lleida,Lleida,1129,ERC,34.32,#e5ab4b,Nacionalismo/independentismo,80.9,#18a1cd,65,255,230,22,15,69,10,57,8.75,34.32,30.96,2.96,2.02,9.29,1.35,7.67
2021,25034,Artesa de Segre,Lleida,2272,ERC,34.58,#e5ab4b,Nacionalismo/independentismo,83.22,#18a1cd,101,453,448,39,19,105,25,92,7.71,34.58,34.2,2.98,1.45,8.02,1.91,7.03
2021,25035,La Sentiu de Sió,Lleida,367,JxCat,36.48,#00c4b2,Nacionalismo/independentismo,75.54,#18a1cd,28,63,85,12,9,14,3,14,12.02,27.04,36.48,5.15,3.86,6.01,1.29,6.01
2021,25036,Aspa,Lleida,172,PSC,28.1,#da1f35,Nacionalismo/independentismo,53.72,#18a1cd,34,21,31,8,0,13,7,0,28.1,17.36,25.62,6.61,0,10.74,5.79,0
