cod_mun,municipio,provincia,poblacion,partido_ganador,por_votos,siglas_partido,color,partido_mapa
02039,Higueruela,Albacete,1125,PARTIDO SOCIALISTA OBRERO ESPAÑOL,60.1,PSOE HIGUERUELA,#da1f35,PSOE
02040,Hoya-Gonzalo,Albacete,561,PARTIDO SOCIALISTA OBRERO ESPAÑOL,50.19,PSOE,#da1f35,PSOE
02041,Jorquera,Albacete,350,PARTIDO POPULAR,69.96,PP,#009ade,PP
02042,Letur,Albacete,901,PARTIDO SOCIALISTA OBRERO ESPAÑOL,64.63,PSOE,#da1f35,PSOE
02043,Lezuza,Albacete,1300,PARTIDO SOCIALISTA OBRERO ESPAÑOL,63.62,PSOE,#da1f35,PSOE
02044,Liétor,Albacete,1096,PARTIDO POPULAR,54.66,PP,#009ade,PP
02045,Madrigueras,Albacete,4644,PARTIDO SOCIALISTA OBRERO ESPAÑOL,42.22,PSOE,#da1f35,PSOE
02046,Mahora,Albacete,1430,PARTIDO POPULAR,61.92,PP,#009ade,PP
02047,Masegoso,Albacete,114,PARTIDO POPULAR,60.71,PP,#009ade,PP
02048,Minaya,Albacete,1442,PARTIDO POPULAR,61.2,PP,#009ade,PP
02049,Molinicos,Albacete,837,PARTIDO SOCIALISTA OBRERO ESPAÑOL,80.87,PSOE,#da1f35,PSOE
02050,Montalvos,Albacete,88,PARTIDO POPULAR,49.3,PP,#009ade,PP
02051,Montealegre del Castillo,Albacete,2056,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUNICIPAL,37.24,AM,#e5ab4b,ERC
02052,Motilleja,Albacete,660,PARTIDO SOCIALISTA OBRERO ESPAÑOL,54.11,PSOE,#da1f35,PSOE
02053,Munera,Albacete,3422,PARTIDO SOCIALISTA OBRERO ESPAÑOL,57.91,PSOE,#da1f35,PSOE
02054,Navas de Jorquera,Albacete,528,PARTIDO POPULAR,68.34,PP,#009ade,PP
02055,Nerpio,Albacete,1180,PARTIDO SOCIALISTA OBRERO ESPAÑOL,80.67,PSOE,#da1f35,PSOE
02056,Ontur,Albacete,1934,PARTIDO SOCIALISTA OBRERO ESPAÑOL,51.08,PSOE,#da1f35,PSOE
02057,Ossa de Montiel,Albacete,2215,SOMOS EL CAMBIO,37.82,SOMOS EL CAMBIO,#778188,Otros
02058,Paterna del Madera,Albacete,329,PARTIDO POPULAR,56.41,PP,#009ade,PP
02059,Peñascosa,Albacete,323,IZQUIERDA UNIDA,73.86,I.U.,#930011,IU
02060,Peñas de San Pedro,Albacete,1433,PARTIDO POPULAR,69.28,PP,#009ade,PP
02061,Pétrola,Albacete,663,PARTIDO POPULAR,69.03,PP,#009ade,PP
02062,Povedilla,Albacete,388,PARTIDO SOCIALISTA OBRERO ESPAÑOL,68.86,PSOE,#da1f35,PSOE
02063,Pozohondo,Albacete,1569,PARTIDO SOCIALISTA OBRERO ESPAÑOL,44.21,PSOE,#da1f35,PSOE
02064,Pozo-Lorente,Albacete,391,PARTIDO SOCIALISTA OBRERO ESPAÑOL,63.07,PSOE,#da1f35,PSOE
02065,Pozuelo,Albacete,461,PARTIDO SOCIALISTA OBRERO ESPAÑOL,50.9,PSOE,#da1f35,PSOE
02066,La Recueja,Albacete,221,PARTIDO POPULAR,60.34,PP,#009ade,PP
02067,Riópar,Albacete,1318,PARTIDO SOCIALISTA OBRERO ESPAÑOL,60.5,PSOE,#da1f35,PSOE
02068,Robledo,Albacete,385,PARTIDO POPULAR,75.26,PP,#009ade,PP
02069,La Roda,Albacete,15497,PARTIDO SOCIALISTA OBRERO ESPAÑOL,53.94,PSOE,#da1f35,PSOE
02070,Salobre,Albacete,438,PARTIDO SOCIALISTA OBRERO ESPAÑOL,71.34,PSOE,#da1f35,PSOE
02071,San Pedro,Albacete,1142,PARTIDO SOCIALISTA OBRERO ESPAÑOL,67.09,PSOE,#da1f35,PSOE
