cod_ine,mun,pob,nombre_completo,partido_alcalde,partido_ganador,segundo,gobierna
28071,Horcajuelo de la Sierra,106,Cesáreo Fajardo Heras,PSOE,PSOE,IHS,Lista más votada
28072,Hoyo de Manzanares,8680,Julián Carrasco Olmo,PSOE,PP,P.S.O.E.,Otro
28073,Humanes de Madrid,19736,Jose Antonio Sanchez Rodriguez,PP,PP,P.S.O.E.,Lista más votada
28074,Leganés,187762,Santiago Llorente Gutiérrez,PSOE,PSOE,ULEG,Lista más votada
28075,Loeches,8860,Fernando Díaz Sánchez,PSOE,PP,P.S.O.E.,Otro
28076,Lozoya,593,Carlos Ruiz González,PP,PP,P.S.O.E.,Lista más votada
28901,Lozoyuela-Navas-Sieteiglesias,1407,Francisco Díaz Rodríguez,PP,PP,P.S.O.E.,Lista más votada
28078,Madarcos,57,Eva Maria Gallego Berzal,PP,PP,MADARCOS CONCEJO ABIERTO,Lista más votada
28079,Madrid,3305408,José Luis Martínez-Almeida Navasqües,PP,MÁS MADRID,PP,Otro
28080,Majadahonda,72034,José Luis Álvarez Ustarroz,PP,PP,Cs,Lista más votada
28082,Manzanares el Real,9202,José Luis Labrador Vioque,PSOE,PP,P.S.O.E.,Otro
28083,Meco,14903,Pedro Luis Sánz Carlavilla,PP,PP,P.S.O.E.,Lista más votada
28084,Mejorada del Campo,23737,Jorge Capa Carralero,PSOE,PSOE,PP,Lista más votada
28085,Miraflores de la Sierra,6585,Luis Guadalix Calvo,PP,PP,P.S.O.E.,Lista más votada
28086,"Molar, El",9291,Yolanda Sanz Rojas,Cs,Cs,P.S.O.E.,Lista más votada
28087,"Molinos, Los",4563,Antonio Coello Gómez-Rey,PP,PP,P.S.O.E.,Lista más votada
28088,Montejo de la Sierra,365,Ismael Martin Hernan,PP,PP,P.S.O.E.,Lista más votada
28089,Moraleja de Enmedio,5294,María Valle Luna Zarza,PSOE,PSOE,PP,Lista más votada
28090,Moralzarzal,13573,Juan Carlos Rodriguez Osuna,VMP!,VMP!,PP,Lista más votada
