cod_ine,municipio,provincia,poblacion,partido_ganador,por_votos,color_ganador,color_code_ganador,alcalde,partido_alcalde,color_alcalde,color_code_alcalde,gobierna
25154,Els Omells de na Gaia,Lleida,127,Junts,59.26,JUNTS,#00c4b2,Delfí Escoté Salla,Junts,JUNTS,#00c4b2,Lista más votada
25155,Organyà,Lleida,796,Junts,60.71,JUNTS,#00c4b2,Celestí Vilà Betriu,Junts,JUNTS,#00c4b2,Lista más votada
25155,Organyà,Lleida,796,Junts,60.71,JUNTS,#00c4b2,Celestí Vilà Betriu,Junts,JUNTS,#00c4b2,Lista más votada
25156,Os de Balaguer,Lleida,1046,IOB-AM,79.53,OTROS,#838677,Estefania Rufach Fontova,IOB-AM,OTROS,#838677,Lista más votada
25157,Ossó de Sió,Lleida,193,FMO,54.7,OTROS,#82757f,Antoni Gilabert Plens,FMO,OTROS,#82757f,Lista más votada
25158,El Palau d'Anglesola,Lleida,2191,ERC,52.01,ERC,#e5ab4b,Francesc Balcells Teixidó,ERC,ERC,#e5ab4b,Lista más votada
25161,Conca de Dalt,Lleida,427,ERC,55.56,ERC,#e5ab4b,Marc Sans Sans,ERC,ERC,#e5ab4b,Lista más votada
25163,La Coma i la Pedra,Lleida,278,ARA,86.96,ARA,#283680,Gerard Bajona Masanés,ARA,ARA,#283680,Lista más votada
25164,Penelles,Lleida,430,Junts,72.58,JUNTS,#00c4b2,Eloi Bergos I Farras,Junts,JUNTS,#00c4b2,Lista más votada
25164,Penelles,Lleida,430,Junts,72.58,JUNTS,#00c4b2,Eloi Bergos I Farras,Junts,JUNTS,#00c4b2,Lista más votada
25165,Peramola,Lleida,348,Junts,77.07,JUNTS,#00c4b2,Joan Puig I Bellido,Junts,JUNTS,#00c4b2,Lista más votada
25165,Peramola,Lleida,348,Junts,77.07,JUNTS,#00c4b2,Joan Puig I Bellido,Junts,JUNTS,#00c4b2,Lista más votada
25166,Pinell de Solsonès,Lleida,190,ERC,59.38,ERC,#e5ab4b,Benjamí Puig Riu,ERC,ERC,#e5ab4b,Lista más votada
25167,Pinós,Lleida,291,Junts,85.52,JUNTS,#00c4b2,Xavier Vilalta Isanta,Junts,JUNTS,#00c4b2,Lista más votada
25167,Pinós,Lleida,291,Junts,85.52,JUNTS,#00c4b2,Xavier Vilalta Isanta,Junts,JUNTS,#00c4b2,Lista más votada
25168,El Poal,Lleida,667,ERC,78.71,ERC,#e5ab4b,Estela Lleonart Carrillo,ERC,ERC,#e5ab4b,Lista más votada
25169,La Pobla de Cérvoles,Lleida,209,Junts,76.87,JUNTS,#00c4b2,Ferran Borch Puigdengoles,Junts,JUNTS,#00c4b2,Lista más votada
25169,La Pobla de Cérvoles,Lleida,209,Junts,76.87,JUNTS,#00c4b2,Ferran Borch Puigdengoles,Junts,JUNTS,#00c4b2,Lista más votada
25170,Bellaguarda,Lleida,288,Junts,65.41,JUNTS,#00c4b2,Olegari Alberich Vidal,Junts,JUNTS,#00c4b2,Lista más votada
25170,Bellaguarda,Lleida,288,Junts,65.41,JUNTS,#00c4b2,Olegari Alberich Vidal,Junts,JUNTS,#00c4b2,Lista más votada
25171,La Pobla de Segur,Lleida,3055,ERC,52.6,ERC,#e5ab4b,Marc Baró Bernaduca,ERC,ERC,#e5ab4b,Lista más votada
25172,Ponts,Lleida,2661,Junts,47.5,JUNTS,#00c4b2,Josep Tapies I Tico,Junts,JUNTS,#00c4b2,Lista más votada
25172,Ponts,Lleida,2661,Junts,47.5,JUNTS,#00c4b2,Josep Tapies I Tico,Junts,JUNTS,#00c4b2,Lista más votada
25173,El Pont de Suert,Lleida,2336,ERC,39.26,ERC,#e5ab4b,NA,NA,NA,NA,NA
25174,La Portella,Lleida,718,Junts,65,JUNTS,#00c4b2,Carlos Catala I Visa,Junts,JUNTS,#00c4b2,Lista más votada
