cod_ine,municipio,provincia,poblacion,partido_ganador,por_votos,color_ganador,color_code_ganador,alcalde,partido_alcalde,color_alcalde,color_code_alcalde,gobierna
16169,El Pozuelo,Cuenca,43,PP,52.63,PP,#009ade,Aurora Almendros Fuero,PP,PP,#009ade,Lista más votada
16170,Priego,Cuenca,885,PSOE,60.92,PSOE,#da1f35,Salvador Martínez Carpintero,PSOE,PSOE,#da1f35,Lista más votada
16171,El Provencio,Cuenca,2387,PP,60.49,PP,#009ade,Julian Barchin Flores,PP,PP,#009ade,Lista más votada
16172,Puebla de Almenara,Cuenca,311,PP,55.64,PP,#009ade,Valentin Rozalen Fernadez,PP,PP,#009ade,Lista más votada
16173,El Valle de Altomira,Cuenca,206,PP,65.82,PP,#009ade,Jesus Plaza Martinez,PP,PP,#009ade,Lista más votada
16174,Puebla del Salvador,Cuenca,192,PP,48.34,PP,#009ade,Jaime Martinez Gabaldon,PP,PP,#009ade,Lista más votada
16175,Quintanar del Rey,Cuenca,7632,PSOE,53.32,PSOE,#da1f35,Joaquina Saiz Cebrian,PSOE,PSOE,#da1f35,Lista más votada
16176,Rada de Haro,Cuenca,49,PSOE,55,PSOE,#da1f35,Francisco Arjona Torrijos,PSOE,PSOE,#da1f35,Lista más votada
16177,Reíllo,Cuenca,105,PP,45.71,PP,#009ade,Estefanía Delgado Panadero,PP,PP,#009ade,Lista más votada
16181,Rozalén del Monte,Cuenca,58,PP,78.57,PP,#009ade,Presentacion Garrido Del Olmo,PP,PP,#009ade,Lista más votada
16185,Saceda-Trasierra,Cuenca,37,PP,70,PP,#009ade,Alejandro Manzanares De La Camara,PP,PP,#009ade,Lista más votada
16186,Saelices,Cuenca,450,PSOE,66.18,PSOE,#da1f35,Paloma Jimenez Gomez,PSOE,PSOE,#da1f35,Lista más votada
16187,Salinas del Manzano,Cuenca,67,PP,60.47,PP,#009ade,Miguel Martínez Ibáñez,PP,PP,#009ade,Lista más votada
16188,Salmeroncillos,Cuenca,101,PP,51.43,PP,#009ade,Ivan Ibañez Ayora,PP,PP,#009ade,Lista más votada
16189,Salvacañete,Cuenca,291,PP,43.44,PP,#009ade,Jose Marin Valero,Cs,CS,#da5b1f,Otro
16190,San Clemente,Cuenca,6827,PP,55.55,PP,#009ade,Tomas Martinez Moreno,PP,PP,#009ade,Lista más votada
16191,San Lorenzo de la Parrilla,Cuenca,1066,PSOE,53.86,PSOE,#da1f35,Virginia Martinez Jiménez,PSOE,PSOE,#da1f35,Lista más votada
16192,San Martín de Boniches,Cuenca,46,PSOE,76.67,PSOE,#da1f35,Julián Ruiz Sáiz,PSOE,PSOE,#da1f35,Lista más votada
16193,San Pedro Palmiches,Cuenca,49,PSOE,67.39,PSOE,#da1f35,Enrique Peñalver Chumillas,PSOE,PSOE,#da1f35,Lista más votada
16194,Santa Cruz de Moya,Cuenca,230,PSOE,77.22,PSOE,#da1f35,Virgilio Antón Antón,PSOE,PSOE,#da1f35,Lista más votada
16195,Santa María del Campo Rus,Cuenca,522,PSOE,42.04,PSOE,#da1f35,NA,NA,NA,NA,NA
16196,Santa María de los Llanos,Cuenca,680,PSOE,57.71,PSOE,#da1f35,Ovidio Gonzalez Gonzalez,PSOE,PSOE,#da1f35,Lista más votada
16197,Santa María del Val,Cuenca,61,PP,45.9,PP,#009ade,Maria Jesus Carreras Heras,PP,PP,#009ade,Lista más votada
16198,Sisante,Cuenca,1618,PP,62.2,PP,#009ade,Pedro Garde Mota,PP,PP,#009ade,Lista más votada
16199,Solera de Gabaldón,Cuenca,36,PP,88.89,PP,#009ade,Samuel Lozano Redondo,PP,PP,#009ade,Lista más votada
16202,Talayuelas,Cuenca,856,PSOE,88.3,PSOE,#da1f35,Emma Cano Díaz,PSOE,PSOE,#da1f35,Lista más votada
16203,Tarancón,Cuenca,15799,PSOE,54.31,PSOE,#da1f35,Jose Lopez Carrizo,PSOE,PSOE,#da1f35,Lista más votada
16204,Tébar,Cuenca,287,PSOE,56.16,PSOE,#da1f35,Jose Alberto Leal Mota,PSOE,PSOE,#da1f35,Lista más votada
16205,Tejadillos,Cuenca,113,PP,48.61,PP,#009ade,Lucia Piqueras Marco,PP,PP,#009ade,Lista más votada
16206,Tinajas,Cuenca,196,PSOE,50.36,PSOE,#da1f35,Agustin Garcia Blasco,PSOE,PSOE,#da1f35,Lista más votada
16209,Torralba,Cuenca,109,PSOE,59,PSOE,#da1f35,Tomas Morillas Montalbo,PSOE,PSOE,#da1f35,Lista más votada
16211,Torrejoncillo del Rey,Cuenca,345,PSOE,54.73,PSOE,#da1f35,Piedad Balsalobre Saiz,PSOE,PSOE,#da1f35,Lista más votada
16212,Torrubia del Campo,Cuenca,296,PSOE,84,PSOE,#da1f35,Pedro Romeral Fernandez,PSOE,PSOE,#da1f35,Lista más votada
16213,Torrubia del Castillo,Cuenca,41,PP,54.84,PP,#009ade,Alejandro Plaza Sanchez,PP,PP,#009ade,Lista más votada
16215,Tragacete,Cuenca,277,PSOE,65.45,PSOE,#da1f35,Diego Yuste Molina,PSOE,PSOE,#da1f35,Lista más votada
16216,Tresjuncos,Cuenca,268,PP,58.3,PP,#009ade,Maria Isabel Ramirez Sanchez,PP,PP,#009ade,Lista más votada
16217,Tribaldos,Cuenca,99,PSOE,63.24,PSOE,#da1f35,Fernando Ortega Fernandez,PSOE,PSOE,#da1f35,Lista más votada
16218,Uclés,Cuenca,222,PP,54.82,PP,#009ade,Jose Luis Serrano Bermejo,PP,PP,#009ade,Lista más votada
16219,Uña,Cuenca,84,PSOE,83.78,PSOE,#da1f35,NA,NA,NA,NA,NA
16224,Valdemeca,Cuenca,74,PP,67.69,PP,#009ade,Román Santiago Royuela Jiménez,PP,PP,#009ade,Lista más votada
16225,Valdemorillo de la Sierra,Cuenca,54,PSOE,65.79,PSOE,#da1f35,Juan José Medina López,PSOE,PSOE,#da1f35,Lista más votada
16227,Valdemoro-Sierra,Cuenca,104,PP,46.15,PP,#009ade,Javier Tello Miota,PP,PP,#009ade,Lista más votada
16228,Valdeolivas,Cuenca,218,PP,50.59,PP,#009ade,Antonio-Quirico Alcántara Roa,PP,PP,#009ade,Lista más votada
16231,Valhermoso de la Fuente,Cuenca,42,PSOE,46.51,PSOE,#da1f35,Emilio Leon Chamon,PSOE,PSOE,#da1f35,Lista más votada
16234,Valsalobre,Cuenca,21,PSOE,73.33,PSOE,#da1f35,José Antonio Moreno Sanz,PSOE,PSOE,#da1f35,Lista más votada
16236,Valverde de Júcar,Cuenca,1091,PSOE,54.84,PSOE,#da1f35,Eduardo Mena Ramón,PSOE,PSOE,#da1f35,Lista más votada
16237,Valverdejo,Cuenca,94,PP,56.1,PP,#009ade,Vanesa Elvira Garcia,PP,PP,#009ade,Lista más votada
16238,Vara de Rey,Cuenca,460,PSOE,54.4,PSOE,#da1f35,Anunciacion Martinez Serrano,PSOE,PSOE,#da1f35,Lista más votada
16239,Vega del Codorno,Cuenca,132,PSOE,64.65,PSOE,#da1f35,Rodrigo Molina Castillejo,PSOE,PSOE,#da1f35,Lista más votada
16240,Vellisca,Cuenca,114,PSOE,50.63,PSOE,#da1f35,Beatriz Palomino Sierra,PP,PP,#009ade,Otro
16242,Villaconejos de Trabaque,Cuenca,323,PP,59.18,PP,#009ade,Carla Macarena Alamo Martinez,PP,PP,#009ade,Lista más votada
16243,Villaescusa de Haro,Cuenca,474,PP,56.17,PP,#009ade,Cayetano Javier Solana Cipres,PP,PP,#009ade,Lista más votada
16244,Villagarcía del Llano,Cuenca,697,PSOE,68.34,PSOE,#da1f35,Alba Rodriguez Cabañero,PSOE,PSOE,#da1f35,Lista más votada
16245,Villalba de la Sierra,Cuenca,484,VV,63.99,OTROS,#757a88,Beatriz Rodriguez Molina,VV,OTROS,#757a88,Lista más votada
16246,Villalba del Rey,Cuenca,481,EMPATE,49.74,OTROS,#82757f,Antonio Luengo Rodriguez,PSOE,PSOE,#da1f35,Otro
16247,Villalgordo del Marquesado,Cuenca,66,PP,71.11,PP,#009ade,Natalio Valencia Lopez,PP,PP,#009ade,Lista más votada
16248,Villalpardo,Cuenca,1013,PP,54.81,PP,#009ade,Maria Pilar Martinez Peñarrubia,PP,PP,#009ade,Lista más votada
16249,Villamayor de Santiago,Cuenca,2433,PSOE,55.82,PSOE,#da1f35,Jesus Fernandez Fernandez,PSOE,PSOE,#da1f35,Lista más votada
16250,Villanueva de Guadamejud,Cuenca,64,PSOE,48.89,PSOE,#da1f35,Angel Merino Sevilla,PSOE,PSOE,#da1f35,Lista más votada
16251,Villanueva de la Jara,Cuenca,2287,PSOE,46.47,PSOE,#da1f35,Johanna Leon Colllado,PSOE,PSOE,#da1f35,Lista más votada
16253,Villar de Cañas,Cuenca,385,PP,82.33,PP,#009ade,Alejandro Pernias Abalos,PP,PP,#009ade,Lista más votada
16254,Villar de Domingo García,Cuenca,222,PP,56.74,PP,#009ade,Francisco Javier Parrilla Moreno,PP,PP,#009ade,Lista más votada
16255,Villar de la Encina,Cuenca,161,PSOE,74.53,PSOE,#da1f35,Santiago Vieco Martinez,PSOE,PSOE,#da1f35,Lista más votada
16258,Villar del Humo,Cuenca,169,PP,54.74,PP,#009ade,Cesar Saiz Martinez,PP,PP,#009ade,Lista más votada
16259,Villar del Infantado,Cuenca,39,PP,71.43,PP,#009ade,Ana María Gamboa López,PP,PP,#009ade,Lista más votada
16263,Villar de Olalla,Cuenca,1356,PSOE,65.45,PSOE,#da1f35,Amador Pastor Noheda,PSOE,PSOE,#da1f35,Lista más votada
16264,Villarejo de Fuentes,Cuenca,392,PP,52.87,PP,#009ade,Juan Carlos Romero Garrote,PP,PP,#009ade,Lista más votada
16265,Villarejo de la Peñuela,Cuenca,23,PSOE,57.89,PSOE,#da1f35,Leticia González Castillejo,PSOE,PSOE,#da1f35,Lista más votada
16266,Villarejo-Periesteban,Cuenca,383,PP,61.4,PP,#009ade,Marino Huerta Guijarro,PP,PP,#009ade,Lista más votada
16269,Villares del Saz,Cuenca,468,PSOE,58.54,PSOE,#da1f35,Jorge Hermosilla Rubio,PSOE,PSOE,#da1f35,Lista más votada
16270,Villarrubio,Cuenca,189,PP,44.36,PP,#009ade,Antonio Flores Bustos,PP,PP,#009ade,Lista más votada
16271,Villarta,Cuenca,789,PSOE,52.62,PSOE,#da1f35,Nuria Honrubia Cordoba,PSOE,PSOE,#da1f35,Lista más votada
16272,Villas de la Ventosa,Cuenca,210,Vox,39.87,VOX,#69a93b,Julian Lucas Illana,Vox,VOX,#69a93b,Lista más votada
16273,Villaverde y Pasaconsol,Cuenca,338,PP,87.56,PP,#009ade,Emiliano Romero Olmeda,PP,PP,#009ade,Lista más votada
16274,Víllora,Cuenca,141,PP,69.66,PP,#009ade,José Ramón Ubiedo Cerqueira,PP,PP,#009ade,Lista más votada
16275,Vindel,Cuenca,12,PP,80,PP,#009ade,David Asenjo Camacho,PP,PP,#009ade,Lista más votada
16276,Yémeda,Cuenca,17,PP,63.16,PP,#009ade,Manuel Martínez Escribano,PP,PP,#009ade,Lista más votada
16277,Zafra de Záncara,Cuenca,100,PP,40.51,PP,#009ade,Antonio Garcia Utiel,PP,PP,#009ade,Lista más votada
16278,Zafrilla,Cuenca,55,PSOE,52.83,PSOE,#da1f35,Francisco Perez Mateo,PSOE,PSOE,#da1f35,Lista más votada
16279,Zarza de Tajo,Cuenca,268,PP,83.93,PP,#009ade,Pedro Antonio Belinchon Gonzalez De Mendoza,PP,PP,#009ade,Lista más votada
16280,Zarzuela,Cuenca,154,PSOE,55.4,PSOE,#da1f35,Alicio Triguero Arribas,PSOE,PSOE,#da1f35,Lista más votada
16901,Campos del Paraíso,Cuenca,691,PP,48.82,PP,#009ade,Francisco Javier Del Saz Perete,PP,PP,#009ade,Lista más votada
16902,Valdetórtola,Cuenca,127,PSOE,64.95,PSOE,#da1f35,Julián Martínez Palacios,PSOE,PSOE,#da1f35,Lista más votada
16903,Las Valeras,Cuenca,1499,PP,81.19,PP,#009ade,Daniel Pérez Osma,PP,PP,#009ade,Lista más votada
16904,Fuentenava de Jábaga,Cuenca,546,PSOE,68.96,PSOE,#da1f35,Jose Luis Chamon Mota,PSOE,PSOE,#da1f35,Lista más votada
16905,Arcas,Cuenca,1994,PSOE,56.29,PSOE,#da1f35,Joaquín González Mena,PSOE,PSOE,#da1f35,Lista más votada
16906,Los Valdecolmenas,Cuenca,74,PP,85.45,PP,#009ade,Alfonso Manuel Hidalgo Barbero,PP,PP,#009ade,Lista más votada
16908,Pozorrubielos de la Mancha,Cuenca,173,PSOE,66.41,PSOE,#da1f35,Antonio Peñarrubia Enguidanos,PSOE,PSOE,#da1f35,Lista más votada
16909,Sotorribas,Cuenca,696,PSOE,71.91,PSOE,#da1f35,Nuria Illana Navarro,PSOE,PSOE,#da1f35,Lista más votada
16910,Villar y Velasco,Cuenca,79,PSOE,67.8,PSOE,#da1f35,Santiago De La Cruz Aliaga,PSOE,PSOE,#da1f35,Lista más votada
17001,Agullana,Girona,903,Junts,58.32,JUNTS,#00c4b2,Josep Jovell Pujulà,Junts,JUNTS,#00c4b2,Lista más votada
17001,Agullana,Girona,903,Junts,58.32,JUNTS,#00c4b2,Josep Jovell Pujulà,Junts,JUNTS,#00c4b2,Lista más votada
17002,Aiguaviva,Girona,780,ERC,42.31,ERC,#e5ab4b,Josep Pinsach Riera,ERC,ERC,#e5ab4b,Lista más votada
17003,Albanyà,Girona,180,EMPATE,38.6,OTROS,#82757f,Jordi Garriga Seguranyes,Junts,JUNTS,#00c4b2,Otro
17003,Albanyà,Girona,180,EMPATE,38.6,OTROS,#82757f,Jordi Garriga Seguranyes,Junts,JUNTS,#00c4b2,Otro
17004,Albons,Girona,797,Junts,90.46,JUNTS,#00c4b2,Josep Ramón Llavero Rodríguez,Junts,JUNTS,#00c4b2,Lista más votada
17004,Albons,Girona,797,Junts,90.46,JUNTS,#00c4b2,Josep Ramón Llavero Rodríguez,Junts,JUNTS,#00c4b2,Lista más votada
17005,El Far d'Empordà,Girona,625,ERC,90.62,ERC,#e5ab4b,Jaume Arnall Figueras,ERC,ERC,#e5ab4b,Lista más votada
17006,Alp,Girona,1717,EC-IDC,41.37,OTROS,#757a88,Carles Adsera Guillen,EC-IDC,OTROS,#757a88,Lista más votada
17007,Amer,Girona,2422,Junts,61.76,JUNTS,#00c4b2,Maria Rosa Vila Juanhuix,Junts,JUNTS,#00c4b2,Lista más votada
17007,Amer,Girona,2422,Junts,61.76,JUNTS,#00c4b2,Maria Rosa Vila Juanhuix,Junts,JUNTS,#00c4b2,Lista más votada
17008,Anglès,Girona,5682,Junts,76.26,JUNTS,#00c4b2,Jordi Pibernat Casas,Junts,JUNTS,#00c4b2,Lista más votada
17008,Anglès,Girona,5682,Junts,76.26,JUNTS,#00c4b2,Jordi Pibernat Casas,Junts,JUNTS,#00c4b2,Lista más votada
17009,Arbúcies,Girona,6474,EA-IDSELVA,53.74,OTROS,#888575,Pere Garriga Sola,EA-IDSELVA,OTROS,#888575,Lista más votada
17010,Argelaguer,Girona,439,IPA,93.29,OTROS,#838677,Guillem Ballaz Bogunyà,IPA,OTROS,#838677,Lista más votada
17011,L'Armentera,Girona,1043,ERC,62.91,ERC,#e5ab4b,Cèlia Garbí Lamich,ERC,ERC,#e5ab4b,Lista más votada
17012,Avinyonet de Puigventós,Girona,1676,Junts,88.77,JUNTS,#00c4b2,Julia Gil Vilar,Junts,JUNTS,#00c4b2,Lista más votada
17012,Avinyonet de Puigventós,Girona,1676,Junts,88.77,JUNTS,#00c4b2,Julia Gil Vilar,Junts,JUNTS,#00c4b2,Lista más votada
17013,Begur,Girona,4177,Junts,38.26,JUNTS,#00c4b2,Maria Teresa (Maite) Selva Huertas,Junts,JUNTS,#00c4b2,Lista más votada
17013,Begur,Girona,4177,Junts,38.26,JUNTS,#00c4b2,Maria Teresa (Maite) Selva Huertas,Junts,JUNTS,#00c4b2,Lista más votada
17014,La Vajol,Girona,87,ERC,50.98,ERC,#e5ab4b,Joaquim Morillo Mañas,Junts,JUNTS,#00c4b2,Otro
17014,La Vajol,Girona,87,ERC,50.98,ERC,#e5ab4b,Joaquim Morillo Mañas,Junts,JUNTS,#00c4b2,Otro
17015,Banyoles,Girona,20187,Junts,47.77,JUNTS,#00c4b2,Miquel Noguer I Planas,Junts,JUNTS,#00c4b2,Lista más votada
17015,Banyoles,Girona,20187,Junts,47.77,JUNTS,#00c4b2,Miquel Noguer I Planas,Junts,JUNTS,#00c4b2,Lista más votada
17016,Bàscara,Girona,1034,ERC,81.27,ERC,#e5ab4b,Narcís Saurina I Clavaguera,ERC,ERC,#e5ab4b,Lista más votada
17018,Bellcaire d'Empordà,Girona,713,Junts,86.21,JUNTS,#00c4b2,Cecília (Ceci) Barnosell Sabrià,Junts,JUNTS,#00c4b2,Lista más votada
17018,Bellcaire d'Empordà,Girona,713,Junts,86.21,JUNTS,#00c4b2,Cecília (Ceci) Barnosell Sabrià,Junts,JUNTS,#00c4b2,Lista más votada
17019,Besalú,Girona,2480,Junts,48.86,JUNTS,#00c4b2,Lluís Guinó I Subirós,Junts,JUNTS,#00c4b2,Lista más votada
17019,Besalú,Girona,2480,Junts,48.86,JUNTS,#00c4b2,Lluís Guinó I Subirós,Junts,JUNTS,#00c4b2,Lista más votada
17020,Bescanó,Girona,5156,Junts,43.77,JUNTS,#00c4b2,Xavier Vinyoles Compta,ERC,ERC,#e5ab4b,Otro
17021,Beuda,Girona,202,Junts,61.05,JUNTS,#00c4b2,Ester Torres I Miralles,Junts,JUNTS,#00c4b2,Lista más votada
17021,Beuda,Girona,202,Junts,61.05,JUNTS,#00c4b2,Ester Torres I Miralles,Junts,JUNTS,#00c4b2,Lista más votada
17022,La Bisbal d'Empordà,Girona,11163,ERC,24.6,ERC,#e5ab4b,Oscar Aparicio Pedrosa,NA,PSOE,#da1f35,Otro
17023,Blanes,Girona,40579,PSOE,22.01,PSOE,#da1f35,Jordi Hernandez Martinez,PSOE,PSOE,#da1f35,Lista más votada
17024,Bolvir,Girona,518,Junts,88.27,JUNTS,#00c4b2,Isidre Chia Trilles,Junts,JUNTS,#00c4b2,Lista más votada
17024,Bolvir,Girona,518,Junts,88.27,JUNTS,#00c4b2,Isidre Chia Trilles,Junts,JUNTS,#00c4b2,Lista más votada
17025,Bordils,Girona,1815,Junts,60.71,JUNTS,#00c4b2,Montserrat Pou Costa,Junts,JUNTS,#00c4b2,Lista más votada
17025,Bordils,Girona,1815,Junts,60.71,JUNTS,#00c4b2,Montserrat Pou Costa,Junts,JUNTS,#00c4b2,Lista más votada
17026,Borrassà,Girona,776,Junts,70.84,JUNTS,#00c4b2,Joan Hurtos I Gironell,Junts,JUNTS,#00c4b2,Lista más votada
17026,Borrassà,Girona,776,Junts,70.84,JUNTS,#00c4b2,Joan Hurtos I Gironell,Junts,JUNTS,#00c4b2,Lista más votada
17027,Breda,Girona,3842,ERC,56.83,ERC,#e5ab4b,Didac Manresa Molins,ERC,ERC,#e5ab4b,Lista más votada
17028,Brunyola i Sant Martí Sapresa,Girona,388,Junts,96.95,JUNTS,#00c4b2,Roger Puigdevall Mascort,Junts,JUNTS,#00c4b2,Lista más votada
17028,Brunyola i Sant Martí Sapresa,Girona,388,Junts,96.95,JUNTS,#00c4b2,Roger Puigdevall Mascort,Junts,JUNTS,#00c4b2,Lista más votada
17029,Boadella i les Escaules,Girona,258,ERC,80.75,ERC,#e5ab4b,Jaume Jan Vilanova,ERC,ERC,#e5ab4b,Lista más votada
17030,Cabanes,Girona,949,Junts,59.85,JUNTS,#00c4b2,David Casanova Artero,Compromís,COMPROMÍS,#e07c2c,Otro
17030,Cabanes,Girona,949,Junts,59.85,JUNTS,#00c4b2,David Casanova Artero,Compromís,COMPROMÍS,#e07c2c,Otro
17031,Cabanelles,Girona,279,ERC,96.36,ERC,#e5ab4b,Sebastià Pèlachs Farcy,ERC,ERC,#e5ab4b,Lista más votada
17032,Cadaqués,Girona,2889,FEMCDQ-IDC,60.59,OTROS,#757a88,Maria Pia Serinyana Torrents,FEMCDQ-IDC,OTROS,#757a88,Lista más votada
17033,Caldes de Malavella,Girona,8196,Junts,34.38,JUNTS,#00c4b2,Salvador Balliu Torroella,Junts,JUNTS,#00c4b2,Lista más votada
17033,Caldes de Malavella,Girona,8196,Junts,34.38,JUNTS,#00c4b2,Salvador Balliu Torroella,Junts,JUNTS,#00c4b2,Lista más votada
17034,Calonge i Sant Antoni,Girona,11712,Junts,30.54,JUNTS,#00c4b2,Jordi Soler Casals,Junts,JUNTS,#00c4b2,Lista más votada
17034,Calonge i Sant Antoni,Girona,11712,Junts,30.54,JUNTS,#00c4b2,Jordi Soler Casals,Junts,JUNTS,#00c4b2,Lista más votada
17035,Camós,Girona,715,ERC,93.51,ERC,#e5ab4b,Maria Teresa Brunso I Puigvert,ERC,ERC,#e5ab4b,Lista más votada
17036,Campdevànol,Girona,3217,Junts,33.62,JUNTS,#00c4b2,Oriol Lázaro Llovera,Junts,JUNTS,#00c4b2,Lista más votada
17036,Campdevànol,Girona,3217,Junts,33.62,JUNTS,#00c4b2,Oriol Lázaro Llovera,Junts,JUNTS,#00c4b2,Lista más votada
17037,Campelles,Girona,162,Junts,47.83,JUNTS,#00c4b2,Judit Cornellà Reixach,ERC,ERC,#e5ab4b,Otro
17038,Campllong,Girona,535,Junts,70.22,JUNTS,#00c4b2,Lluis Freixas I Vilardell,Junts,JUNTS,#00c4b2,Lista más votada
17038,Campllong,Girona,535,Junts,70.22,JUNTS,#00c4b2,Lluis Freixas I Vilardell,Junts,JUNTS,#00c4b2,Lista más votada
17039,Camprodon,Girona,2469,PSOE,72.46,PSOE,#da1f35,Xavier (Xavi) Guitart Cano,PSOE,PSOE,#da1f35,Lista más votada
17040,Canet d'Adri,Girona,750,ERC,69.57,ERC,#e5ab4b,Enric Subils Quera,ERC,ERC,#e5ab4b,Lista más votada
17041,Cantallops,Girona,330,ERC,87.77,ERC,#e5ab4b,Joan Sabartés Olivet,ERC,ERC,#e5ab4b,Lista más votada
17042,Capmany,Girona,672,Junts,87.58,JUNTS,#00c4b2,Joan Fuentes Pomes,Junts,JUNTS,#00c4b2,Lista más votada
17042,Capmany,Girona,672,Junts,87.58,JUNTS,#00c4b2,Joan Fuentes Pomes,Junts,JUNTS,#00c4b2,Lista más votada
17043,Queralbs,Girona,191,Junts,46.62,JUNTS,#00c4b2,Maria Inmaculada Constans Ruiz,Junts,JUNTS,#00c4b2,Lista más votada
17043,Queralbs,Girona,191,Junts,46.62,JUNTS,#00c4b2,Maria Inmaculada Constans Ruiz,Junts,JUNTS,#00c4b2,Lista más votada
17044,Cassà de la Selva,Girona,10680,ERC,45.23,ERC,#e5ab4b,Pau Presas Bertran,ERC,ERC,#e5ab4b,Lista más votada
17046,Castellfollit de la Roca,Girona,926,ERC,72.27,ERC,#e5ab4b,Miquel Reverter I Tres,ERC,ERC,#e5ab4b,Lista más votada
17047,Castelló d'Empúries,Girona,11611,ERC,24.16,ERC,#e5ab4b,NA,NA,NA,NA,NA
17048,Castell-Platja d'Aro,Girona,11757,PSOE,28.97,PSOE,#da1f35,Maurici Jiménez Ruiz,PSOE,PSOE,#da1f35,Lista más votada
17049,Celrà,Girona,5503,CUP,49.51,CUP,#e5c64b,David Planas Lladó,CUP,CUP,#e5c64b,Lista más votada
17050,Cervià de Ter,Girona,999,CUP,43.5,CUP,#e5c64b,NA,NA,NA,NA,NA
17051,Cistella,Girona,307,Junts,68.88,JUNTS,#00c4b2,Enric Gironella Colomer,Junts,JUNTS,#00c4b2,Lista más votada
17051,Cistella,Girona,307,Junts,68.88,JUNTS,#00c4b2,Enric Gironella Colomer,Junts,JUNTS,#00c4b2,Lista más votada
17052,Siurana,Girona,178,ERC,51.06,ERC,#e5ab4b,Guillermo Javier Segura Marugan,ERC,ERC,#e5ab4b,Lista más votada
17054,Colera,Girona,468,Junts,67.52,JUNTS,#00c4b2,Lluis Bosch Rebarter,Junts,JUNTS,#00c4b2,Lista más votada
17054,Colera,Girona,468,Junts,67.52,JUNTS,#00c4b2,Lluis Bosch Rebarter,Junts,JUNTS,#00c4b2,Lista más votada
17055,Colomers,Girona,204,CUP,50,CUP,#e5c64b,M. Mercè Auguet Ferrer,CUP,CUP,#e5c64b,Lista más votada
17056,Cornellà del Terri,Girona,2407,Junts,63.13,JUNTS,#00c4b2,Salvador Coll I Baucells,Junts,JUNTS,#00c4b2,Lista más votada
17056,Cornellà del Terri,Girona,2407,Junts,63.13,JUNTS,#00c4b2,Salvador Coll I Baucells,Junts,JUNTS,#00c4b2,Lista más votada
17057,Corçà,Girona,1268,FP-TE,66,OTROS,#7d8781,Raül Yruela Díaz,FP-TE,OTROS,#7d8781,Lista más votada
17058,Crespià,Girona,276,Junts,62.07,JUNTS,#00c4b2,Francesc Xavier Quer Bosch,Junts,JUNTS,#00c4b2,Lista más votada
17058,Crespià,Girona,276,Junts,62.07,JUNTS,#00c4b2,Francesc Xavier Quer Bosch,Junts,JUNTS,#00c4b2,Lista más votada
17060,Darnius,Girona,535,TXD-TE,62.54,OTROS,#7d8781,Josep Madern Ciria,TXD-TE,OTROS,#7d8781,Lista más votada
17061,Das,Girona,267,AM,71.27,ERC,#e5ab4b,Enric Laguarda Pons,AM,OTROS,#747d88,Otro
17061,Das,Girona,267,AM,71.27,ERC,#e5ab4b,Enric Laguarda Pons,AM,ERC,#e5ab4b,Lista más votada
17062,L'Escala,Girona,10520,CP,42.71,PSOE,#da1f35,Josep Bofill Testart,CP,OTROS,#7f7583,Otro
17062,L'Escala,Girona,10520,CP,42.71,PSOE,#da1f35,Josep Bofill Testart,CP,PSOE,#da1f35,Lista más votada
17063,Espinelves,Girona,248,ERC,53.16,ERC,#e5ab4b,Joan Montserrat Ramos,ERC,ERC,#e5ab4b,Lista más votada
17064,Espolla,Girona,408,ERC,93.07,ERC,#e5ab4b,Carles Lagresa Felip,ERC,ERC,#e5ab4b,Lista más votada
17065,Esponellà,Girona,489,ERC,67.68,ERC,#e5ab4b,David Juan I Garganta,ERC,ERC,#e5ab4b,Lista más votada
17066,Figueres,Girona,47088,Junts,49.81,JUNTS,#00c4b2,Jordi Masquef Creus,Junts,JUNTS,#00c4b2,Lista más votada
17066,Figueres,Girona,47088,Junts,49.81,JUNTS,#00c4b2,Jordi Masquef Creus,Junts,JUNTS,#00c4b2,Lista más votada
17067,Flaçà,Girona,1130,Junts,48.65,JUNTS,#00c4b2,Joan Adroher Feliu,Junts,JUNTS,#00c4b2,Lista más votada
17067,Flaçà,Girona,1130,Junts,48.65,JUNTS,#00c4b2,Joan Adroher Feliu,Junts,JUNTS,#00c4b2,Lista más votada
17068,Foixà,Girona,288,Junts,69.11,JUNTS,#00c4b2,Josep Oliveras Gali,Junts,JUNTS,#00c4b2,Lista más votada
17068,Foixà,Girona,288,Junts,69.11,JUNTS,#00c4b2,Josep Oliveras Gali,Junts,JUNTS,#00c4b2,Lista más votada
17069,Fontanals de Cerdanya,Girona,533,Junts,60.81,JUNTS,#00c4b2,Ramon Chia Galvez,Junts,JUNTS,#00c4b2,Lista más votada
17069,Fontanals de Cerdanya,Girona,533,Junts,60.81,JUNTS,#00c4b2,Ramon Chia Galvez,Junts,JUNTS,#00c4b2,Lista más votada
17070,Fontanilles,Girona,163,Junts,65.67,JUNTS,#00c4b2,Salvador Coll Serra,Junts,JUNTS,#00c4b2,Lista más votada
17070,Fontanilles,Girona,163,Junts,65.67,JUNTS,#00c4b2,Salvador Coll Serra,Junts,JUNTS,#00c4b2,Lista más votada
17071,Fontcoberta,Girona,1466,ERC,41.76,ERC,#e5ab4b,NA,NA,NA,NA,NA
17073,Fornells de la Selva,Girona,2693,Junts,58.65,JUNTS,#00c4b2,Sònia Gràcia I Xuclà,Junts,JUNTS,#00c4b2,Lista más votada
