fecha,indicativo,fecha_maxima,temMax,nombre_clean,provincia_clean,latitud,longitud,record,nota,junio,mayo,abril,marzo,febrero,enero
2024-03-22,1484C,2021-03-31,28.6,Pontevedra,Pontevedra,42.43833333,-8.615833333,Mensual,NA,NA,NA,NA,28.6,NA,NA
2024-03-22,1542,2002-03-23,18.8,Puerto de Leitariegos,Asturias,42.99416667,-6.414166667,Mensual,NA,NA,NA,NA,20.6,NA,NA
2024-03-22,1549,2017-03-10,27.2,Ponferrada,León,42.56388889,-6.6,Mensual,NA,NA,NA,NA,28.8,NA,NA
2024-03-22,1700X,2002-03-23,30.1,O Carballiño,Ourense,42.42138889,-8.0925,Mensual,O Carballiño 30.3ºC,NA,NA,NA,30.3,NA,NA
2024-03-22,1735X,2012-03-25,25.9,Xinzo de Limia,Ourense,42.07916667,-7.733611111,Mensual,NA,NA,NA,NA,27.2,NA,NA
2024-03-22,2030,2017-03-10,25.4,Soria,Soria,41.775,-2.483055556,Mensual,NA,NA,NA,NA,25.5,NA,NA
2024-03-22,2150H,2017-03-10,18.7,"La Pinilla, Estación de Esquí",Segovia,41.19194444,-3.475277778,Mensual,NA,NA,NA,NA,19.3,NA,NA
2024-03-22,2235U,2017-03-10,24.3,Cervera de Pisuerga,Palencia,42.87055556,-4.52,Mensual,NA,NA,NA,NA,24.7,NA,NA
2024-03-22,2298,2017-03-10,23.7,Palacios de La Sierra,Burgos,41.95972222,-3.131666667,Mensual,NA,NA,NA,NA,25.7,NA,NA
2024-03-22,2331,1957-03-11,24.5,Burgos Aeropuerto,Burgos,42.35694444,-3.621388889,Mensual,NA,NA,NA,NA,24.6,NA,NA
2024-03-22,2374X,2017-03-10,25.1,Carrión de los Condes,Palencia,42.35083333,-4.617222222,Mensual,NA,NA,NA,NA,26.1,NA,NA
2024-03-22,2422,2021-03-31,26,Valladolid,Valladolid,41.64083333,-4.754444444,Mensual,NA,NA,NA,NA,26.6,NA,NA
2024-03-23,2462,2020-03-11,18.9,Puerto de Navacerrada,Madrid,40.79305556,-4.010555556,Mensual,Puerto de Navacerrada 18.9ºC,NA,NA,NA,18.9,NA,NA
2024-03-22,2465,2017-03-09,24.6,Segovia,Segovia,40.94527778,-4.126388889,Mensual,NA,NA,NA,NA,24.9,NA,NA
2024-03-22,2539,1965-03-30,24.6,Valladolid Aeropuerto,Valladolid,41.71194444,-4.855555556,Mensual,NA,NA,NA,NA,25.4,NA,NA
2024-03-22,2755X,1992-03-20,26.1,Benavente,Zamora,42.01083333,-5.666666667,Mensual,NA,NA,NA,NA,26.1,NA,NA
2024-03-22,3130C,2020-03-11,24.6,Sigüenza,Guadalajara,41.08638889,-2.618055556,Mensual,NA,NA,NA,NA,24.8,NA,NA
2024-03-22,3168D,2015-03-31,26.9,Guadalajara,Guadalajara,40.63027778,-3.15,Mensual,NA,NA,NA,NA,27.6,NA,NA
2024-03-22,4147X,2020-03-11,28.6,Valdepeñas,Ciudad Real,38.75055556,-3.391388889,Mensual,NA,NA,NA,NA,28.8,NA,NA
