indicativo,<b></b>,temMax,fecha_maxima,record,mes_falso,month,nombre_clean,provincia_clean,<span></span>,fecha,nota
0372C,25.2,22.1,2018-01-03,Mensual,12,Enero,Porqueres,Girona,12.290881876170218,2024-01-25,NA
1002Y,21.5,21.3,2022-01-01,Mensual,12,Enero,"Baztán, Irurita",Navarra,12.02710129592972,2024-01-28,NA
1014,25.2,24.6,1999-01-06,Mensual,12,Enero,"Hondarribia, Malkarroa",Gipuzkoa,11.881362387469121,2024-01-28,NA
1037Y,19.8,19.5,2022-01-01,Mensual,12,Enero,Zumarraga,Gipuzkoa,12.088542449796588,2024-01-27,NA
1050J,22.8,22.7,2022-01-01,Mensual,12,Enero,Elgoibar,Gipuzkoa,11.85101758795364,2024-01-28,NA
1059X,22.6,21.4,2020-01-31,Mensual,12,Enero,Punta Galea,Bizkaia,12.081057329412229,2024-01-28,NA
1221D,17.6,16.1,2020-01-01,Mensual,12,Enero,Pajares-Valgrande,Asturias,11.90432850465866,2024-01-25,NA
1387E,22.4,22.3,2022-01-01,Mensual,12,Enero,A Coruña Aeropuerto,A Coruña,12.022052333475166,2024-01-27,NA
1542,17.3,14.8,2022-01-29,Mensual,12,Enero,Puerto de Leitariegos,Asturias,11.982442973509476,2024-01-25,NA
1735X,19.1,18.6,2022-01-01,Mensual,12,Enero,Xinzo de Limia,Ourense,11.857264990433116,2024-01-31,NA
2030,20.8,20,1944-01-29,Mensual,12,Enero,Soria,Soria,11.710330418648173,2024-01-24,NA
2150H,17.9,16,1982-01-31,Mensual,12,Enero,"La Pinilla, Estación de Esquí",Segovia,12.031046697462408,2024-01-25,NA
2235U,19.1,19,2013-01-06,Mensual,12,Enero,Cervera de Pisuerga,Palencia,11.98389432550482,2024-01-27,NA
2298,20.2,18,2022-01-01,Mensual,12,Enero,Palacios de La Sierra,Burgos,12,2024-01-27,NA
2331,19.1,19,1944-01-29,Mensual,12,Enero,Burgos Aeropuerto,Burgos,12.01610567449518,2024-01-27,NA
2400E,15.9,15.7,2023-01-01,Mensual,12,Enero,Autilla del Pino,Palencia,12.084550628784879,2024-01-28,NA
2444,20.8,19.6,2007-01-19,Mensual,12,Enero,Ávila,Ávila,12.126203371365015,2024-01-24,NA
2462,18.3,16.3,2013-01-06,Mensual,12,Enero,Puerto de Navacerrada,Madrid,12.100734301249576,2024-01-25,NA
2465,20.1,20.1,2022-01-01,Mensual,12,Enero,Segovia,Segovia,12,2024-01-27,NA
2491C,15.6,15.3,2020-01-01,Mensual,12,Enero,"La Covatilla, Estación de Esquí",Salamanca,12.023460646733728,2024-01-26,"La Covatilla, Estación de Esquí 15.6ºC"
2539,17.4,17,1966-01-19,Mensual,12,Enero,Valladolid Aeropuerto,Valladolid,12,2024-01-28,NA
2630X,20.1,15.6,2012-01-10,Mensual,12,Enero,Puerto de San Isidro,León,11.918991543361045,2024-01-24,NA
3110C,21.6,19.3,2007-01-12,Mensual,12,Enero,Buitrago del Lozoya,Madrid,12.051202091320988,2024-01-26,NA
3111D,19.1,17.8,2007-01-19,Mensual,12,Enero,Somosierra,Madrid,12.16050955440324,2024-01-26,NA
3130C,21,19.9,2022-01-01,Mensual,12,Enero,Sigüenza,Guadalajara,12.246879650298158,2024-01-26,NA
3168D,21.6,19.8,2016-01-24,Mensual,12,Enero,Guadalajara,Guadalajara,12.2053719716158,2024-01-26,NA
3175,21.5,21,2003-01-27,Mensual,12,Enero,Torrejón de Ardoz,Madrid,11.700755766746877,2024-01-26,NA
3191E,20.2,18,2022-01-01,Mensual,12,Enero,Colmenar Viejo,Madrid,12.057342220650906,2024-01-26,NA
3196,20.6,20.6,2003-01-27,Mensual,12,Enero,"Madrid, Cuatro Vientos",Madrid,11.881625154948077,2024-01-26,NA
3266A,18.3,15.9,2002-01-28,Mensual,12,Enero,Puerto Alto del León,Madrid,11.969797103522298,2024-01-25,NA
3298X,21,17.9,2012-01-05,Mensual,12,Enero,San Pablo de los Montes,Toledo,11.834646692378008,2024-01-25,NA
4061X,21.3,20,2022-01-01,Mensual,12,Enero,Quintanar de la Orden,Toledo,12.289669581351827,2024-01-24,NA
4090Y,20,19.2,2022-01-01,Mensual,12,Enero,San Clemente,Cuenca,11.949759597957495,2024-01-25,NA
4147X,22.4,20.9,2021-01-29,Mensual,12,Enero,Valdepeñas,Ciudad Real,11.761266037522166,2024-01-27,NA
4148,23.6,21.7,2021-01-29,Mensual,12,Enero,Viso del Marqués,Ciudad Real,12.187407859990001,2024-01-27,NA
4220X,22.8,21.4,2021-01-28,Mensual,12,Enero,Puebla de Don Rodrigo,Ciudad Real,11.864904450979619,2024-01-27,NA
4244X,22.9,20.8,2016-01-24,Mensual,12,Enero,Herrera del Duque,Badajoz,12.17855440376488,2024-01-26,NA
4267X,21.6,20.8,2016-01-24,Mensual,12,Enero,Hinojosa del Duque,Córdoba,11.82144559623512,2024-01-27,NA
4358X,21.8,21.3,2023-01-01,Mensual,12,Enero,Don Benito,Badajoz,11.918696112210839,2024-01-26,NA
4410X,23.4,23.3,2003-01-27,Mensual,12,Enero,Mérida,Badajoz,12,2024-01-26,NA
4511C,23,21.7,2022-01-03,Mensual,12,Enero,Jerez de los Caballeros,Badajoz,11.759047037155714,2024-01-25,NA
4549Y,24.6,23.2,2022-01-31,Mensual,12,Enero,Ayamonte,Huelva,12.223539657308944,2024-01-25,NA
4560Y,24.8,22.8,2022-01-01,Mensual,12,Enero,Alajar,Huelva,12.147636431476407,2024-01-26,NA
4642E,24.6,24,2008-01-22,Mensual,12,Enero,"Huelva, Ronda Este",Huelva,11.837473342696038,2024-01-25,NA
5000C,23.4,23,2021-01-27,Mensual,12,Enero,Ceuta,Ceuta,12.186357176146933,2024-01-15,NA
5047E,25.6,23.6,2022-01-01,Mensual,12,Enero,Baza,Granada,12.120295929887895,2024-01-25,NA
