indicativo,tmed,tmax,calor,anomalia_tmax,tmin,frio,anomalia_tmin,fecha,hora,nombre,nombre_clean,provincia_clean,latitud,longitud
6293X,16.85,19,hace calor,"+0,3",14.7,anormalmente cálida,+2,2024-03-19,10:10:00,ROQUETAS DE MAR,Roquetas de Mar,Almería,36.68694444444444,-2.7016666666666667
6302A,17.7,20.9,hace mucho calor,"+3,7",14.5,extremadamente cálida,"+8,4",2024-03-19,10:10:00,ABLA,Abla,Almería,37.14138888888889,-2.78
6325O,18.7,21.4,hace mucho calor,"+1,4",16,extremadamente cálida,+5,2024-03-19,10:10:00,ALMERÍA AEROPUERTO,Almería Aeropuerto,Almería,36.84638888888889,-2.3569444444444447
6332X,17.2,18.4,no hace calor,"-1,2",16,extremadamente cálida,"+4,8",2024-03-19,10:10:00,CARBONERAS,Carboneras,Almería,36.98027777777778,-1.903611111111111
6367B,15.95,18.5,no hace calor,"-0,6",13.4,extremadamente cálida,"+5,4",2024-03-19,10:10:00,HUÉRCAL-OVERA,Huércal-Overa,Almería,37.39055555555556,-1.9436111111111112
7002Y,17.3,19,no hace calor,"-0,2",15.6,extremadamente cálida,+5,2024-03-19,10:10:00,ÁGUILAS,Águilas,Murcia,37.41722222222222,-1.5869444444444445
7031,14.450000000000001,16.1,no hace calor,"-1,9",12.8,extremadamente cálida,"+4,1",2024-03-19,10:10:00,SAN JAVIER AEROPUERTO,San Javier Aeropuerto,Murcia,37.78888888888888,-0.8033333333333333
7031X,14.450000000000001,16.1,no hace calor,"-2,7",12.8,anormalmente cálida,"+4,5",2024-03-19,10:10:00,SAN JAVIER AEROPUERTO,San Javier Aeropuerto,Murcia,37.77833333333333,-0.8058333333333334
7096B,14.8,17.6,no hace calor,"-1,2",12,extremadamente cálida,"+4,2",2024-03-19,10:10:00,HELLÍN,Hellín,Albacete,38.54194444444444,-1.7030555555555555
7119B,16.35,21.5,hace mucho calor,+4,11.2,extremadamente cálida,"+5,7",2024-03-19,10:10:00,CARAVACA DE LA CRUZ,Caravaca de la Cruz,Murcia,38.1025,-1.8772222222222223
7145D,15.75,19,no hace calor,"-0,6",12.5,extremadamente cálida,"+5,2",2024-03-19,10:10:00,CIEZA,Cieza,Murcia,38.23277777777778,-1.3805555555555555
7178I,16.7,19.7,no hace calor,"-1,7",13.7,extremadamente cálida,"+5,3",2024-03-19,10:10:00,MURCIA,Murcia,Murcia,38.00194444444445,-1.1708333333333334
7209,15.600000000000001,18.8,no hace calor,"-1,8",12.4,extremadamente cálida,"+5,8",2024-03-19,10:10:00,LORCA,Lorca,Murcia,37.65472222222222,-1.6872222222222222
7247X,15.15,20.1,hace mucho calor,"+2,3",10.2,extremadamente cálida,"+6,2",2024-03-19,10:10:00,EL PINÓS/PINOSO,El Pinós/Pinoso,Alicante,38.39972222222222,-1.0380555555555555
7275C,14.700000000000001,19.6,hace calor,"+5,8",9.8,extremadamente cálida,"+4,2",2024-03-19,10:10:00,YECLA,Yecla,Murcia,38.60166666666667,-1.159722222222222
8019,13.8,14.7,no hace calor,"-4,4",12.9,extremadamente cálida,"+3,7",2024-03-19,10:10:00,ALICANTE-ELCHE AEROPUERTO,Alicante-Elche Aeropuerto,Alicante,38.282777777777774,-0.5708333333333333
8025,15.399999999999999,17.7,no hace calor,"-1,9",13.1,extremadamente cálida,"+4,3",2024-03-19,10:10:00,ALACANT/ALICANTE,Alacant/Alicante,Alicante,38.3725,-0.49416666666666664
8050X,13.5,17,no hace calor,"-1,7",10,anormalmente cálida,"+2,2",2024-03-19,10:10:00,JÁVEA/ XÀBIA,Jávea/Xàbia,Alicante,38.78361111111111,0.16777777777777778
8096,10.55,13.2,no hace calor,"-3,7",7.9,extremadamente cálida,"+4,7",2024-03-19,10:10:00,CUENCA,Cuenca,Cuenca,40.06722222222223,-2.1319444444444446
8175,13.3,17.8,el calor es normal,"+0,2",8.8,extremadamente cálida,"+5,5",2024-03-19,10:10:00,ALBACETE BASE AÉREA,Albacete Base Aérea,Albacete,38.95416666666667,-1.856388888888889
8177A,16.299999999999997,19.9,el calor es extremo,"+7,8",12.7,extremadamente cálida,"+8,1",2024-03-19,10:10:00,CHINCHILLA,Chinchilla,Albacete,38.93583333333333,-1.66
8178D,12.5,14.9,no hace calor,"-3,5",10.1,extremadamente cálida,"+5,9",2024-03-19,10:10:00,ALBACETE,Albacete,Albacete,39.005833333333335,-1.862777777777778
8293X,13.9,17.5,no hace calor,"-4,9",10.3,anormalmente cálida,"+3,9",2024-03-19,10:10:00,XÀTIVA,Xàtiva,Valencia,39.001666666666665,-0.5236111111111111
8309X,12.25,17.4,no hace calor,"-0,7",7.1,extremadamente cálida,"+4,1",2024-03-19,10:10:00,UTIEL,Utiel,Valencia,39.57555555555556,-1.2447222222222225
8325X,12.5,15.9,no hace calor,"-3,2",9.1,más cálida de lo normal,"+1,7",2024-03-19,10:10:00,POLINYÀ DE XÚQUER,Polinyà de Xúquer,Valencia,39.18472222222222,-0.3719444444444444
8368U,10.2,12.8,no hace calor,"-4,7",7.6,extremadamente cálida,"+7,2",2024-03-19,10:10:00,TERUEL,Teruel,Teruel,40.35055555555556,-1.1241666666666668
8414A,13.35,15.5,no hace calor,"-3,5",11.2,anormalmente cálida,"+3,8",2024-03-19,10:10:00,VALENCIA AEROPUERTO,Valencia Aeropuerto,Valencia,39.485,-0.4747222222222222
8416Y,14.3,15.5,no hace calor,"-2,1",13.1,extremadamente cálida,"+3,3",2024-03-19,10:10:00,"VALÈNCIA, VIVEROS","València, Viveros",Valencia,39.480555555555554,-0.3663888888888889
8500A,12.85,14.1,no hace calor,"-4,5",11.6,anormalmente cálida,"+2,6",2024-03-19,10:10:00,CASTELLÓ - ALMASSORA,Castelló - Almassora,Castellón,39.95722222222223,-0.07194444444444445
9001D,8.55,13.5,hace calor,"+2,8",3.6,anormalmente cálida,"+2,8",2024-03-19,10:10:00,REINOSA,Reinosa,Cantabria,42.99194444444444,-4.160555555555556
9019B,9.25,11.3,no hace calor,"-1,2",7.2,extremadamente cálida,+6,2024-03-19,10:00:00,"VALDERREDIBLE, POLIENTES","Valderredible, Polientes",Cantabria,42.80638888888888,-3.933888888888889
9051,10.6,14.2,no hace calor,"-1,3",7,anormalmente cálida,"+5,2",2024-03-19,10:10:00,MEDINA DE POMAR,Medina de Pomar,Burgos,42.919999999999995,-3.4827777777777778
9091R,10.2,13.4,hace calor,"+0,6",7,extremadamente cálida,"+3,5",2024-03-19,10:10:00,VITORIA-GASTEIZ AEROPUERTO,Vitoria-Gasteiz Aeropuerto,Araba/Álava,42.871944444444445,-2.7327777777777778
9111,11.399999999999999,14.7,hace calor,"+0,7",8.1,extremadamente cálida,"+5,2",2024-03-19,10:10:00,BELORADO,Belorado,Burgos,42.42111111111111,-3.1702777777777778
9170,12.350000000000001,16.1,no hace calor,"-1,4",8.6,extremadamente cálida,"+3,2",2024-03-19,10:10:00,"LOGROÑO, AEROPUERTO","Logroño, Aeropuerto",La Rioja,42.452222222222225,-2.331111111111111
9201K,11.4,14.5,el calor es normal,"+0,2",8.3,extremadamente cálida,"+5,7",2024-03-19,10:10:00,JACA,Jaca,Huesca,42.57888888888889,-0.5469444444444445
9208E,13.5,17.6,hace mucho calor,"+4,3",9.4,extremadamente cálida,"+7,5",2024-03-19,10:10:00,ARAGÜÉS DEL PUERTO,Aragüés del Puerto,Huesca,42.70861111111111,-0.6727777777777777
9244X,11.55,15.1,el calor es normal,"-0,4",8,extremadamente cálida,+4,2024-03-19,10:10:00,SOS DEL REY CATÓLICO,Sos del Rey Católico,Zaragoza,42.490833333333335,-1.213611111111111
9263D,11.7,15.6,no hace calor,"-1,4",7.8,anormalmente cálida,"+4,1",2024-03-19,10:10:00,"PAMPLONA, AEROPUERTO","Pamplona, Aeropuerto",Navarra,42.776944444444446,-1.65
9263X,11.05,14,hace calor,"+2,9",8.1,extremadamente cálida,+5,2024-03-19,10:10:00,"ARANGUREN, ILUNDAIN","Aranguren, Ilundain",Navarra,42.77611111111111,-1.5325
9294E,11.7,15.8,el calor es normal,"-0,4",7.6,anormalmente cálida,"+2,3",2024-03-19,10:10:00,"BARDENAS REALES, BASE AÉREA","Bardenas Reales, Base Aérea",Navarra,42.198611111111106,-1.475277777777778
9381I,8.75,12.6,no hace calor,"-4,2",4.9,anormalmente cálida,"+5,5",2024-03-19,10:10:00,CALAMOCHA,Calamocha,Teruel,40.92611111111111,-1.2933333333333332
9390,9.2,11.9,no hace calor,-6,6.5,anormalmente cálida,"+4,5",2024-03-19,10:00:00,DAROCA,Daroca,Zaragoza,41.114444444444445,-1.41
9394X,10.9,13.5,no hace calor,"-2,8",8.3,anormalmente cálida,"+4,7",2024-03-19,10:10:00,CALATAYUD,Calatayud,Zaragoza,41.33111111111111,-1.6452777777777778
9434,13.7,16.3,no hace calor,"-1,6",11.1,extremadamente cálida,"+4,6",2024-03-19,10:10:00,"ZARAGOZA, AEROPUERTO","Zaragoza, Aeropuerto",Zaragoza,41.660555555555554,-1.0041666666666669
9434P,13.55,15.9,el calor es normal,"-0,1",11.2,extremadamente cálida,"+4,2",2024-03-19,10:10:00,"ZARAGOZA, VALDESPARTERA","Zaragoza, Valdespartera",Zaragoza,41.62111111111111,-0.9347222222222222
9563X,15.4,18.1,hace mucho calor,"+6,2",12.7,extremadamente cálida,"+9,6",2024-03-19,10:10:00,CASTELLFORT,Castellfort,Castellón,40.49861111111111,-0.18666666666666665
9569A,15.75,18.1,el calor es normal,"+0,4",13.4,extremadamente cálida,"+6,4",2024-03-19,10:10:00,CALANDA,Calanda,Teruel,40.946666666666665,-0.23777777777777775
9573X,13.899999999999999,17.2,el calor es normal,"+0,2",10.6,extremadamente cálida,"+5,8",2024-03-19,10:10:00,ALCAÑIZ,Alcañiz,Teruel,41.058055555555555,-0.14166666666666666
9585,8.15,11.8,el calor es normal,"+0,4",4.5,extremadamente cálida,"+4,6",2024-03-19,10:10:00,LA MOLINA,La Molina,Girona,42.3325,1.9394444444444443
9619,9.8,14.9,no hace calor,"-2,7",4.7,anormalmente cálida,"+3,1",2024-03-19,10:10:00,LA SEU D'URGELL,La Seu d'Urgell,Lleida,42.35472222222222,1.4630555555555556
9698U,11.350000000000001,14.4,no hace calor,"-2,3",8.3,extremadamente cálida,"+3,3",2024-03-19,10:10:00,TALARN,Talarn,Lleida,42.20527777777778,0.8652777777777777
9771C,13,15.8,no hace calor,"-4,2",10.2,extremadamente cálida,"+5,3",2024-03-19,10:10:00,LLEIDA,Lleida,Lleida,41.626111111111115,0.5980555555555556
9784P,8.45,12.5,el calor es normal,"-1,1",4.4,extremadamente cálida,"+1,9",2024-03-19,10:10:00,BIELSA,Bielsa,Huesca,42.63,0.22472222222222224
9898,13.350000000000001,16.8,no hace calor,"-1,6",9.9,extremadamente cálida,"+4,3",2024-03-19,10:10:00,"HUESCA, AEROPUERTO","Huesca, Aeropuerto",Huesca,42.08444444444444,-0.32555555555555554
9981A,13.5,16.5,no hace calor,-4,10.5,más cálida de lo normal,"+2,1",2024-03-19,10:10:00,ESTACIÓN DE TORTOSA (ROQUETES),Estación de Tortosa (Roquetes),Tarragona,40.82027777777778,0.49333333333333335
9990X,8.85,13.2,hace calor,"+1,2",4.5,extremadamente cálida,"+3,4",2024-03-19,10:10:00,"NAUT ARAN, ARTIES","Naut Aran, Arties",Lleida,42.70027777777778,0.8769444444444445
B013X,13.149999999999999,19.7,hace mucho calor,"+3,9",6.6,anormalmente cálida,"+4,1",2024-03-19,10:10:00,"ESCORCA, LLUC","Escorca, Lluc",Baleares,39.82333333333334,2.8858333333333333
B228,15.899999999999999,19.7,hace mucho calor,"+1,7",12.1,anormalmente cálida,"+2,1",2024-03-19,10:10:00,"PALMA, PUERTO","Palma, Puerto",Baleares,39.555277777777775,2.625277777777778
B248,14.6,16.4,hace mucho calor,"+3,7",12.8,anormalmente cálida,"+6,6",2024-03-19,10:10:00,"SIERRA DE ALFABIA, BUNYOLA","Sierra de Alfabia, Bunyola",Baleares,39.735,2.7130555555555556
B278,14.05,20,hace mucho calor,"+1,6",8.1,más cálida de lo normal,"+2,5",2024-03-19,10:10:00,"PALMA DE MALLORCA, AEROPUERTO","Palma de Mallorca, Aeropuerto",Baleares,39.56083333333333,2.736666666666667
B346X,15.7,19.8,el calor es normal,"+0,7",11.6,extremadamente cálida,+5,2024-03-19,10:00:00,PORRERES,Porreres,Baleares,39.52166666666667,3.0191666666666666
B434X,14.5,17.6,no hace calor,"-0,5",11.4,anormalmente cálida,"+1,6",2024-03-19,10:10:00,PORTOCOLOM,Portocolom,Baleares,39.41444444444444,3.2716666666666665
B569X,17.1,19.7,hace mucho calor,+2,14.5,extremadamente cálida,"+3,1",2024-03-19,10:10:00,CAPDEPERA,Capdepera,Baleares,39.71666666666667,3.4780555555555557
B691Y,13.25,18.3,no hace calor,"-0,3",8.2,más cálida de lo normal,"+0,4",2024-03-19,10:10:00,SA POBLA,Sa Pobla,Baleares,39.74916666666667,3.0166666666666666
B893,14.5,19,hace mucho calor,"+2,2",10,más cálida de lo normal,"+0,8",2024-03-19,10:10:00,"MENORCA, AEROPUERTO","Menorca, Aeropuerto",Baleares,39.85472222222222,4.2155555555555555
B954,13.649999999999999,16.7,no hace calor,"-1,4",10.6,más cálida de lo normal,"+0,9",2024-03-19,10:00:00,"IBIZA, AEROPUERTO","Ibiza, Aeropuerto",Baleares,38.87638888888889,1.3844444444444444
C029O,19.1,20.6,no hace calor,"-2,6",17.6,anormalmente cálida,+2,2024-03-19,09:10:00,LANZAROTE AEROPUERTO,Lanzarote Aeropuerto,Las Palmas,36.10194444444444,-9.250277777777777
C129Z,18.45,19.5,no hace calor,"-4,7",17.4,anormalmente cálida,"+1,5",2024-03-19,09:10:00,TAZACORTE,Tazacorte,Sta. Cruz de Tenerife,35.74583333333333,-13.565277777777778
C139E,19.450000000000003,20.3,no hace calor,"-0,9",18.6,extremadamente cálida,"+2,5",2024-03-19,09:10:00,LA PALMA AEROPUERTO,La Palma Aeropuerto,Sta. Cruz de Tenerife,35.78305555555556,-13.405
C229J,20.35,21.3,no hace calor,"-0,7",19.4,extremadamente cálida,"+3,2",2024-03-19,09:10:00,PÁJARA,Pájara,Las Palmas,35.19916666666667,-10.008055555555556
C249I,18.700000000000003,19.8,no hace calor,"-2,6",17.6,anormalmente cálida,"+1,9",2024-03-19,09:10:00,FUERTEVENTURA AEROPUERTO,Fuerteventura Aeropuerto,Las Palmas,35.594722222222224,-9.513055555555557
C429I,19.5,21.5,no hace calor,"-2,1",17.5,anormalmente cálida,"+2,3",2024-03-19,09:10:00,TENERIFE SUR AEROPUERTO,Tenerife Sur Aeropuerto,Sta. Cruz de Tenerife,35.19694444444445,-12.211111111111114
C430E,9.7,11.5,hace calor,"+0,9",7.9,anormalmente cálida,"+4,5",2024-03-19,09:10:00,IZAÑA,Izaña,Sta. Cruz de Tenerife,35.45888888888889,-12.149444444444446
C439J,18.55,20.8,no hace calor,"-1,4",16.3,extremadamente cálida,"+2,1",2024-03-19,09:10:00,GÜÍMAR,Güímar,Sta. Cruz de Tenerife,35.468333333333334,-12.032222222222222
C447A,14.2,14.5,no hace calor,"-3,3",13.9,anormalmente cálida,"+2,7",2024-03-19,09:10:00,TENERIFE NORTE AEROPUERTO,Tenerife Norte Aeropuerto,Sta. Cruz de Tenerife,35.6275,-11.979444444444445
C449C,19.8,21.8,no hace calor,"-0,6",17.8,anormalmente cálida,"+1,4",2024-03-19,09:10:00,STA.CRUZ DE TENERIFE,Sta. Cruz de Tenerife,Sta. Cruz de Tenerife,35.61333333333333,-11.905277777777778
C459Z,19.25,19.9,no hace calor,"-1,9",18.6,extremadamente cálida,+3,2024-03-19,09:10:00,PUERTO DE LA CRUZ,Puerto de la Cruz,Sta. Cruz de Tenerife,35.56805555555556,-12.198055555555557
C619I,19.9,20.7,no hace calor,"-1,2",19.1,extremadamente cálida,+4,2024-03-19,09:10:00,LA ALDEA DE SAN NICOLÁS,La Aldea de San Nicolás,Las Palmas,35.15083333333333,-11.46388888888889
C629X,19.15,21.3,no hace calor,"-3,1",17,más cálida de lo normal,+1,2024-03-19,09:10:00,"MOGÁN, PUERTO","Mogán, Puerto",Las Palmas,34.96638888888889,-11.414166666666667
C649I,19.8,20.8,no hace calor,"-1,5",18.8,anormalmente cálida,"+2,5",2024-03-19,09:10:00,GRAN CANARIA AEROPUERTO,Gran Canaria Aeropuerto,Las Palmas,35.06777777777778,-11.045277777777777
C659H,18.65,19.6,no hace calor,"-0,9",17.7,anormalmente cálida,+1,2024-03-19,09:10:00,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL","Las Palmas de Gran Canaria, San Cristobal",Las Palmas,35.23972222222222,-11.066111111111113
C659M,19.700000000000003,20.1,no hace calor,"-0,8",19.3,extremadamente cálida,"+1,9",2024-03-19,09:10:00,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA","Las Palmas de Gran Canaria, Pl. de la Feria",Las Palmas,35.26305555555556,-11.071388888888889
C689E,18.7,20.5,no hace calor,"-2,4",16.9,anormalmente cálida,"+1,4",2024-03-19,09:10:00,MASPALOMAS,Maspalomas,Las Palmas,34.88583333333334,-11.245833333333332
C929I,20.35,21,no hace calor,"-0,1",19.7,extremadamente cálida,"+2,1",2024-03-19,09:10:00,HIERRO AEROPUERTO,Hierro Aeropuerto,Sta. Cruz de Tenerife,34.96888888888889,-13.53888888888889
