indicativo,tmed,tmax,calor,anomalia_tmax,tmin,frio,anomalia_tmin,fecha,hora,nombre,nombre_clean,provincia_clean,latitud,longitud
1041A,14.95,15.7,hace calor,"+1,8",14.2,anormalmente cálida,"+6,2",2024-03-19,10:10:00,ZUMAIA,Zumaia,Gipuzkoa,43.30222222222222,-2.2511111111111113
1050J,14.55,16.3,hace calor,"+2,2",12.8,extremadamente cálida,"+6,3",2024-03-19,10:10:00,ELGOIBAR,Elgoibar,Gipuzkoa,43.20944444444445,-2.413333333333333
1057B,14,15.1,el calor es extremo,+3,12.9,extremadamente cálida,"+4,5",2024-03-19,10:00:00,MATXITXAKO,Matxitxako,Bizkaia,43.45388888888889,-2.7527777777777778
1059X,14.85,15.6,hace calor,"+2,3",14.1,anormalmente cálida,+6,2024-03-19,10:10:00,PUNTA GALEA,Punta Galea,Bizkaia,43.375,-3.0216666666666665
1078I,13.45,14.4,el calor es normal,"-0,5",12.5,extremadamente cálida,"+7,2",2024-03-19,10:10:00,GÜEÑES,Güeñes,Bizkaia,43.20333333333333,-3.104722222222222
1082,14.5,15.4,no hace calor,"-1,3",13.6,anormalmente cálida,+6,2024-03-19,10:10:00,BILBAO AEROPUERTO,Bilbao Aeropuerto,Bizkaia,43.29805555555556,-2.906388888888889
1083L,14.7,15.7,el calor es extremo,"+2,4",13.7,extremadamente cálida,+5,2024-03-19,10:10:00,CASTRO URDIALES,Castro Urdiales,Cantabria,43.39472222222222,-3.233888888888889
1109,14.8,15.7,el calor es normal,"-0,2",13.9,extremadamente cálida,"+6,3",2024-03-19,10:10:00,SANTANDER AEROPUERTO,Santander Aeropuerto,Cantabria,43.42388888888889,-3.8255555555555554
1111,13.55,13.8,no hace calor,"-0,2",13.3,anormalmente cálida,+4,2024-03-19,10:10:00,SANTANDER,Santander,Cantabria,43.49111111111111,-3.800555555555555
1111X,13.55,13.8,hace mucho calor,"+0,8",13.3,extremadamente cálida,"+4,3",2024-03-19,10:10:00,SANTANDER,Santander,Cantabria,43.49111111111111,-3.800555555555555
1159,14,14.3,hace calor,"+0,9",13.7,extremadamente cálida,+7,2024-03-19,10:10:00,SAN VICENTE DE LA BARQUERA,San Vicente de la Barquera,Cantabria,43.39333333333333,-4.392222222222222
1183X,14.2,14.5,el calor es normal,"+0,1",13.9,extremadamente cálida,"+5,1",2024-03-19,10:10:00,LLANES,Llanes,Asturias,43.42027777777778,-4.748055555555555
1207U,14.05,14.5,hace calor,"+0,7",13.6,extremadamente cálida,"+4,9",2024-03-19,10:10:00,"GIJÓN, CAMPUS","Gijón, Campus",Asturias,43.52305555555555,-5.621111111111111
1212E,13,13.3,no hace calor,"-1,5",12.7,extremadamente cálida,"+4,3",2024-03-19,10:10:00,ASTURIAS AEROPUERTO,Asturias Aeropuerto,Asturias,43.566944444444445,-6.0441666666666665
1221D,6.5,8.4,el calor es normal,"+0,5",4.6,más cálida de lo normal,"+4,3",2024-03-19,10:00:00,PAJARES-VALGRANDE,Pajares-Valgrande,Asturias,42.978611111111114,-5.776388888888889
