date,provincia,2024,Media 2009-2023,tipo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,min,max
2024-02-07,España,5933,1757.7333333333331,Hectáreas,0,1173,0,310,1883,0,193,226,0,270,187,3589,2714,1866,12669,1286,187,12669
2024-02-07,España,33,12.466666666666669,Incendios,0,1,0,4,6,0,1,2,0,3,1,32,27,4,93,13,0,93
2024-02-08,España,6329,1793.4666666666667,Hectáreas,0,1173,0,515,1945,0,193,226,0,270,187,3589,2714,1866,12938,1286,187,12938
2024-02-08,España,39,12.8,Incendios,0,1,0,6,7,0,1,2,0,3,1,32,27,4,95,13,0,95
2024-02-09,España,7185,1834.2666666666669,Hectáreas,0,1173,0,515,1945,0,193,226,0,270,187,3673,2714,1866,13466,1286,187,13466
2024-02-09,España,42,13.266666666666667,Incendios,0,1,0,6,7,0,1,2,0,3,1,33,27,4,101,13,0,101
2024-02-10,España,7185,1898.3333333333333,Hectáreas,0,1173,0,515,2331,0,193,226,0,270,187,3673,2714,1866,13972,1355,187,13972
2024-02-10,España,42,13.8,Incendios,0,1,0,6,8,0,1,2,0,3,1,33,27,4,106,15,0,106
2024-02-11,España,7185,1945,Hectáreas,0,1173,0,515,2402,0,193,226,0,270,248,3673,3162,1866,14010,1437,248,14010
2024-02-11,España,42,14.4,Incendios,0,1,0,6,9,0,1,2,0,3,2,33,31,4,107,17,0,107
2024-02-12,España,7707,1973.2,Hectáreas,0,1173,0,515,2402,0,193,226,0,270,248,3673,3162,1866,14010,1860,248,14010
2024-02-12,España,48,14.6,Incendios,0,1,0,6,9,0,1,2,0,3,2,33,31,4,107,20,0,107
2024-02-13,España,7707,2006.3333333333333,Hectáreas,0,1173,0,515,2402,0,193,226,0,270,248,3673,3162,1866,14010,2357,248,14010
2024-02-13,España,48,14.933333333333334,Incendios,0,1,0,6,9,0,1,2,0,3,2,33,31,4,107,25,0,107
2024-02-14,España,7740,2090.9333333333334,Hectáreas,0,1173,0,515,2402,0,233,226,0,270,248,3763,3162,1866,14010,3496,248,14010
2024-02-14,España,49,15.666666666666666,Incendios,0,1,0,6,9,0,2,2,0,3,2,34,31,4,107,34,0,107
2024-02-15,España,7828,2443.4666666666667,Hectáreas,0,1173,0,515,2402,0,233,226,0,270,248,7354,4432,1866,14010,3923,248,14010
2024-02-15,España,51,17.333333333333332,Incendios,0,1,0,6,9,0,2,2,0,3,2,48,36,4,107,40,0,107
2024-02-16,España,7828,2527.133333333333,Hectáreas,0,1173,0,515,2402,0,233,226,0,270,248,8130,4432,1866,14010,4402,248,14010
2024-02-16,España,51,18.333333333333332,Incendios,0,1,0,6,9,0,2,2,0,3,2,57,36,4,107,46,0,107
2024-02-17,España,7828,2672.8,Hectáreas,0,1218,0,515,2402,0,233,226,0,270,248,10086,4432,1866,14010,4586,248,14010
2024-02-17,España,51,19.733333333333334,Incendios,0,2,0,6,9,0,2,2,0,3,2,74,36,4,107,49,0,107
2024-02-18,España,7828,2788.4666666666667,Hectáreas,0,1218,0,515,2402,0,233,226,0,270,248,10593,5037,1906,14010,5169,248,14010
2024-02-18,España,51,20.933333333333337,Incendios,0,2,0,6,9,0,2,2,0,3,2,81,41,5,107,54,0,107
2024-02-19,España,7828,2797.4666666666667,Hectáreas,0,1218,0,515,2402,0,233,226,0,270,248,10625,5070,1906,14010,5239,248,14010
2024-02-19,España,51,21.2,Incendios,0,2,0,6,9,0,2,2,0,3,2,82,42,5,107,56,0,107
2024-02-20,España,7902,3079.4666666666667,Hectáreas,0,1218,0,515,2402,0,233,226,0,270,248,10625,5269,5752,14010,5424,248,14010
2024-02-20,España,53,22.6,Incendios,0,2,0,6,9,0,2,2,0,3,2,82,45,20,107,59,0,107
2024-02-21,España,7902,3453.733333333333,Hectáreas,0,1315,0,515,2402,0,233,226,0,270,281,10884,5327,10509,14064,5780,281,14064
2024-02-21,España,53,24.066666666666663,Incendios,0,3,0,6,9,0,2,2,0,3,3,85,46,31,108,63,0,108
2024-02-22,España,7975,3567.6,Hectáreas,0,1315,0,515,3142,0,321,226,0,270,281,10918,5522,10755,14469,5780,281,14469
2024-02-22,España,55,24.733333333333334,Incendios,0,3,0,6,12,0,3,2,0,3,3,86,49,32,109,63,0,109
2024-02-23,España,7975,3673.133333333333,Hectáreas,0,1315,0,515,3142,0,321,226,0,414,323,11310,6375,10755,14621,5780,323,14621
2024-02-23,España,55,25.733333333333334,Incendios,0,3,0,6,12,0,3,2,0,5,4,91,55,32,110,63,0,110
2024-02-24,España,7975,3772.266666666667,Hectáreas,0,1315,0,515,3194,0,321,226,0,467,323,11501,7250,11033,14659,5780,323,14659
2024-02-24,España,55,26.8,Incendios,0,3,0,6,13,0,3,2,0,6,4,94,62,35,111,63,0,111
2024-02-25,España,7975,3830.3333333333335,Hectáreas,0,1315,0,515,3194,0,321,226,0,467,355,12195,7291,11137,14659,5780,355,14659
