nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
A Pastoriza,27044,CERO,Áreas no urbanas,0,Lugo,2879,0,0,NA,3.63,NA
A Pastoriza,27044,DISTINTIVO B,Áreas no urbanas,32,Lugo,2879,18.39,11.11,17.41,17.32,0.09
A Pastoriza,27044,DISTINTIVO C,Áreas no urbanas,65,Lugo,2879,37.36,22.58,10.03,8.5,1.53
A Pastoriza,27044,ECO,Áreas no urbanas,0,Lugo,2879,0,0,NA,4.19,NA
A Pastoriza,27044,SIN DISTINTIVO,Áreas no urbanas,77,Lugo,2879,44.25,26.75,43.14,35,8.15
A Peroxa,32059,CERO,Áreas no urbanas,0,Ourense,1805,0,0,NA,3.63,NA
A Peroxa,32059,DISTINTIVO B,Áreas no urbanas,22,Ourense,1805,21.36,12.19,17.5,17.32,0.18
A Peroxa,32059,DISTINTIVO C,Áreas no urbanas,46,Ourense,1805,44.66,25.48,9.48,8.5,0.98
A Peroxa,32059,ECO,Áreas no urbanas,0,Ourense,1805,0,0,NA,4.19,NA
A Peroxa,32059,SIN DISTINTIVO,Áreas no urbanas,35,Ourense,1805,33.98,19.39,42.09,35,7.09
A Pobra de Trives,32063,CERO,Áreas no urbanas,0,Ourense,2019,0,0,NA,3.63,NA
A Pobra de Trives,32063,DISTINTIVO B,Áreas no urbanas,18,Ourense,2019,11.04,8.92,16.94,17.32,-0.37
A Pobra de Trives,32063,DISTINTIVO C,Áreas no urbanas,76,Ourense,2019,46.63,37.64,9.61,8.5,1.1
A Pobra de Trives,32063,ECO,Áreas no urbanas,0,Ourense,2019,0,0,NA,4.19,NA
A Pobra de Trives,32063,SIN DISTINTIVO,Áreas no urbanas,69,Ourense,2019,42.33,34.18,34.23,35,-0.76
A Pobra do Brollón,27047,CERO,Áreas no urbanas,0,Lugo,1551,0,0,NA,3.63,NA
A Pobra do Brollón,27047,DISTINTIVO B,Áreas no urbanas,17,Lugo,1551,13.6,10.96,16.35,17.32,-0.97
A Pobra do Brollón,27047,DISTINTIVO C,Áreas no urbanas,49,Lugo,1551,39.2,31.59,10.24,8.5,1.74
