nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,tot22,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
Adrada de Haza,09003,DISTINTIVO C,Áreas no urbanas,6,Burgos,199,62,9.68,30.15,6.67,4.61,2.06
Adrada de Haza,09003,ECO,Áreas no urbanas,0,Burgos,199,62,0,0,NA,3.53,NA
Adrada de Haza,09003,SIN DISTINTIVO,Áreas no urbanas,52,Burgos,199,62,83.87,261.31,19.54,17.4,2.14
Adrada de Pirón,40002,DISTINTIVO B,Áreas no urbanas,0,Segovia,38,2,0,0,NA,11.9,NA
Adrada de Pirón,40002,DISTINTIVO C,Áreas no urbanas,0,Segovia,38,2,0,0,NA,4.61,NA
Adrada de Pirón,40002,SIN DISTINTIVO,Áreas no urbanas,2,Segovia,38,2,100,52.63,5.5,17.4,-11.9
Adradas,42003,DISTINTIVO B,Áreas no urbanas,0,Soria,60,1,0,0,NA,11.9,NA
Adradas,42003,DISTINTIVO C,Áreas no urbanas,0,Soria,60,1,0,0,NA,4.61,NA
Adradas,42003,ECO,Áreas no urbanas,0,Soria,60,1,0,0,NA,3.53,NA
Adradas,42003,SIN DISTINTIVO,Áreas no urbanas,1,Soria,60,1,100,16.67,28,17.4,10.6
Adrados,40003,DISTINTIVO B,Áreas no urbanas,1,Segovia,120,9,11.11,8.33,12,11.9,0.1
Adrados,40003,DISTINTIVO C,Áreas no urbanas,1,Segovia,120,9,11.11,8.33,7,4.61,2.39
Adrados,40003,SIN DISTINTIVO,Áreas no urbanas,7,Segovia,120,9,77.78,58.33,19,17.4,1.6
Aduna,20002,CERO,Áreas no urbanas,0,Gipuzkoa,486,63,0,0,NA,2.92,NA
Aduna,20002,DISTINTIVO B,Áreas no urbanas,9,Gipuzkoa,486,63,14.29,18.52,10.56,11.9,-1.35
Aduna,20002,DISTINTIVO C,Áreas no urbanas,10,Gipuzkoa,486,63,15.87,20.58,5.1,4.61,0.49
Aduna,20002,ECO,Áreas no urbanas,0,Gipuzkoa,486,63,0,0,NA,3.53,NA
Aduna,20002,SIN DISTINTIVO,Áreas no urbanas,44,Gipuzkoa,486,63,69.84,90.53,18.68,17.4,1.28
Agaete,35001,CERO,Áreas no urbanas,0,Las Palmas,5633,35,0,0,NA,2.92,NA
Agaete,35001,DISTINTIVO B,Áreas no urbanas,0,Las Palmas,5633,35,0,0,NA,11.9,NA
Agaete,35001,DISTINTIVO C,Áreas no urbanas,0,Las Palmas,5633,35,0,0,NA,4.61,NA
Agaete,35001,ECO,Áreas no urbanas,0,Las Palmas,5633,35,0,0,NA,3.53,NA
Agaete,35001,SIN DISTINTIVO,Áreas no urbanas,35,Las Palmas,5633,35,100,6.21,23.86,17.4,6.46
Agallas,37002,DISTINTIVO B,Áreas no urbanas,3,Salamanca,131,11,27.27,22.9,12.67,11.9,0.76
Agallas,37002,DISTINTIVO C,Áreas no urbanas,1,Salamanca,131,11,9.09,7.63,9,4.61,4.39
Agallas,37002,SIN DISTINTIVO,Áreas no urbanas,7,Salamanca,131,11,63.64,53.44,19,17.4,1.6
Agolada,36020,CERO,Áreas no urbanas,0,Pontevedra,2252,39,0,0,NA,2.92,NA
Agolada,36020,DISTINTIVO B,Áreas no urbanas,3,Pontevedra,2252,39,7.69,1.33,10,11.9,-1.9
Agolada,36020,DISTINTIVO C,Áreas no urbanas,4,Pontevedra,2252,39,10.26,1.78,7.5,4.61,2.89
Agolada,36020,ECO,Áreas no urbanas,0,Pontevedra,2252,39,0,0,NA,3.53,NA
Agolada,36020,SIN DISTINTIVO,Áreas no urbanas,32,Pontevedra,2252,39,82.05,14.21,18.5,17.4,1.1
Agoncillo,26002,CERO,Grandes áreas urbanas,0,La Rioja,1175,262,0,0,NA,2.92,NA
Agoncillo,26002,DISTINTIVO B,Grandes áreas urbanas,14,La Rioja,1175,262,5.34,11.91,11.29,11.9,-0.62
Agoncillo,26002,DISTINTIVO C,Grandes áreas urbanas,75,La Rioja,1175,262,28.63,63.83,4.52,4.61,-0.09
Agoncillo,26002,ECO,Grandes áreas urbanas,0,La Rioja,1175,262,0,0,NA,3.53,NA
Agoncillo,26002,SIN DISTINTIVO,Grandes áreas urbanas,173,La Rioja,1175,262,66.03,147.23,16.28,17.4,-1.12
Agost,03002,CERO,Áreas no urbanas,0,Alicante,4948,278,0,0,NA,2.92,NA
Agost,03002,DISTINTIVO B,Áreas no urbanas,17,Alicante,4948,278,6.12,3.44,9.59,11.9,-2.31
Agost,03002,DISTINTIVO C,Áreas no urbanas,77,Alicante,4948,278,27.7,15.56,5.66,4.61,1.05
Agost,03002,ECO,Áreas no urbanas,0,Alicante,4948,278,0,0,NA,3.53,NA
Agost,03002,SIN DISTINTIVO,Áreas no urbanas,184,Alicante,4948,278,66.19,37.19,12.6,17.4,-4.8
Agramunt,25003,CERO,Áreas no urbanas,0,Lleida,5479,210,0,0,NA,2.92,NA
