nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
Agoncillo,26002,SIN DISTINTIVO,Grandes áreas urbanas,294,La Rioja,1175,37.55,250.21,25.93,28.41,-2.49
Agost,03002,CERO,Áreas no urbanas,15,Alicante,4948,0.56,3.03,2.8,2.5,0.3
Agost,03002,DISTINTIVO B,Áreas no urbanas,885,Alicante,4948,32.88,178.86,14.93,14.58,0.35
Agost,03002,DISTINTIVO C,Áreas no urbanas,869,Alicante,4948,32.28,175.63,7.15,7.17,-0.02
Agost,03002,ECO,Áreas no urbanas,53,Alicante,4948,1.97,10.71,3.28,3.67,-0.39
Agost,03002,SIN DISTINTIVO,Áreas no urbanas,870,Alicante,4948,32.32,175.83,26.48,28.41,-1.94
Agramunt,25003,CERO,Áreas no urbanas,21,Lleida,5479,0.66,3.83,2.71,2.5,0.21
Agramunt,25003,DISTINTIVO B,Áreas no urbanas,1049,Lleida,5479,33.13,191.46,14.28,14.58,-0.31
Agramunt,25003,DISTINTIVO C,Áreas no urbanas,943,Lleida,5479,29.79,172.11,6.96,7.17,-0.21
Agramunt,25003,ECO,Áreas no urbanas,71,Lleida,5479,2.24,12.96,4.41,3.67,0.74
Agramunt,25003,SIN DISTINTIVO,Áreas no urbanas,1082,Lleida,5479,34.18,197.48,27.31,28.41,-1.1
Agres,03003,CERO,Áreas no urbanas,2,Alicante,589,0.53,3.4,2.5,2.5,-0
Agres,03003,DISTINTIVO B,Áreas no urbanas,125,Alicante,589,32.98,212.22,14.26,14.58,-0.32
Agres,03003,DISTINTIVO C,Áreas no urbanas,133,Alicante,589,35.09,225.81,6.47,7.17,-0.7
Agres,03003,ECO,Áreas no urbanas,11,Alicante,589,2.9,18.68,2.36,3.67,-1.31
Agres,03003,SIN DISTINTIVO,Áreas no urbanas,108,Alicante,589,28.5,183.36,27.47,28.41,-0.94
Agrón,18001,CERO,Áreas no urbanas,1,Granada,247,0.52,4.05,1,2.5,-1.5
Agrón,18001,DISTINTIVO B,Áreas no urbanas,66,Granada,247,34.38,267.21,14.09,14.58,-0.49
Agrón,18001,DISTINTIVO C,Áreas no urbanas,46,Granada,247,23.96,186.23,6.2,7.17,-0.97
Agrón,18001,ECO,Áreas no urbanas,2,Granada,247,1.04,8.1,7,3.67,3.33
Agrón,18001,SIN DISTINTIVO,Áreas no urbanas,77,Granada,247,40.1,311.74,26.51,28.41,-1.91
Aguadulce,41001,CERO,Áreas no urbanas,2,Sevilla,2043,0.18,0.98,1.5,2.5,-1
Aguadulce,41001,DISTINTIVO B,Áreas no urbanas,408,Sevilla,2043,36.49,199.71,14.12,14.58,-0.46
Aguadulce,41001,DISTINTIVO C,Áreas no urbanas,287,Sevilla,2043,25.67,140.48,6.8,7.17,-0.37
Aguadulce,41001,ECO,Áreas no urbanas,9,Sevilla,2043,0.81,4.41,4.67,3.67,1
Aguadulce,41001,SIN DISTINTIVO,Áreas no urbanas,412,Sevilla,2043,36.85,201.66,25.19,28.41,-3.23
Aguarón,50004,CERO,Áreas no urbanas,1,Zaragoza,610,0.26,1.64,2,2.5,-0.5
Aguarón,50004,DISTINTIVO B,Áreas no urbanas,124,Zaragoza,610,32.21,203.28,14.77,14.58,0.18
Aguarón,50004,DISTINTIVO C,Áreas no urbanas,103,Zaragoza,610,26.75,168.85,7.43,7.17,0.26
Aguarón,50004,ECO,Áreas no urbanas,5,Zaragoza,610,1.3,8.2,2.4,3.67,-1.27
Aguarón,50004,SIN DISTINTIVO,Áreas no urbanas,152,Zaragoza,610,39.48,249.18,27.18,28.41,-1.24
Aguas Cándidas,09006,DISTINTIVO B,Áreas no urbanas,16,Burgos,62,34.78,258.06,15.31,14.58,0.73
Aguas Cándidas,09006,DISTINTIVO C,Áreas no urbanas,9,Burgos,62,19.57,145.16,6.33,7.17,-0.84
Aguas Cándidas,09006,SIN DISTINTIVO,Áreas no urbanas,21,Burgos,62,45.65,338.71,32.14,28.41,3.73
Aguasal,47002,DISTINTIVO B,Áreas no urbanas,6,Valladolid,19,54.55,315.79,14,14.58,-0.58
Aguasal,47002,ECO,Áreas no urbanas,1,Valladolid,19,9.09,52.63,2,3.67,-1.67
Aguasal,47002,SIN DISTINTIVO,Áreas no urbanas,4,Valladolid,19,36.36,210.53,29.25,28.41,0.84
Aguatón,44003,DISTINTIVO B,Áreas no urbanas,9,Teruel,16,45,562.5,14.44,14.58,-0.14
Aguatón,44003,DISTINTIVO C,Áreas no urbanas,5,Teruel,16,25,312.5,7.4,7.17,0.23
Aguatón,44003,SIN DISTINTIVO,Áreas no urbanas,6,Teruel,16,30,375,23.17,28.41,-5.25
Aguaviva,44004,DISTINTIVO B,Áreas no urbanas,115,Teruel,556,32.76,206.83,14.72,14.58,0.14
Aguaviva,44004,DISTINTIVO C,Áreas no urbanas,95,Teruel,556,27.07,170.86,6.98,7.17,-0.19
Aguaviva,44004,ECO,Áreas no urbanas,9,Teruel,556,2.56,16.19,3.56,3.67,-0.11
