nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,tot22,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
A Mezquita,32048,DISTINTIVO B,Áreas no urbanas,4,Ourense,1005,37,10.81,3.98,13.5,11.64,1.86
A Mezquita,32048,DISTINTIVO C,Áreas no urbanas,3,Ourense,1005,37,8.11,2.99,5.67,4.09,1.58
A Mezquita,32048,ECO,Áreas no urbanas,0,Ourense,1005,37,0,0,NA,3.95,NA
A Mezquita,32048,SIN DISTINTIVO,Áreas no urbanas,30,Ourense,1005,37,81.08,29.85,22.67,19.31,3.36
A Pastoriza,27044,CERO,Áreas no urbanas,0,Lugo,2879,138,0,0,NA,4.01,NA
A Pastoriza,27044,DISTINTIVO B,Áreas no urbanas,3,Lugo,2879,138,2.17,1.04,13,11.64,1.36
A Pastoriza,27044,DISTINTIVO C,Áreas no urbanas,6,Lugo,2879,138,4.35,2.08,4.67,4.09,0.58
A Pastoriza,27044,ECO,Áreas no urbanas,0,Lugo,2879,138,0,0,NA,3.95,NA
A Pastoriza,27044,SIN DISTINTIVO,Áreas no urbanas,129,Lugo,2879,138,93.48,44.81,21.18,19.31,1.87
A Peroxa,32059,CERO,Áreas no urbanas,0,Ourense,1805,22,0,0,NA,4.01,NA
A Peroxa,32059,DISTINTIVO B,Áreas no urbanas,1,Ourense,1805,22,4.55,0.55,16,11.64,4.36
A Peroxa,32059,DISTINTIVO C,Áreas no urbanas,0,Ourense,1805,22,0,0,NA,4.09,NA
A Peroxa,32059,ECO,Áreas no urbanas,0,Ourense,1805,22,0,0,NA,3.95,NA
A Peroxa,32059,SIN DISTINTIVO,Áreas no urbanas,21,Ourense,1805,22,95.45,11.63,21.38,19.31,2.07
A Pobra de Trives,32063,CERO,Áreas no urbanas,0,Ourense,2019,71,0,0,NA,4.01,NA
A Pobra de Trives,32063,DISTINTIVO B,Áreas no urbanas,3,Ourense,2019,71,4.23,1.49,12,11.64,0.36
A Pobra de Trives,32063,DISTINTIVO C,Áreas no urbanas,1,Ourense,2019,71,1.41,0.5,2,4.09,-2.09
A Pobra de Trives,32063,ECO,Áreas no urbanas,0,Ourense,2019,71,0,0,NA,3.95,NA
A Pobra de Trives,32063,SIN DISTINTIVO,Áreas no urbanas,67,Ourense,2019,71,94.37,33.18,22.76,19.31,3.45
A Pobra do Brollón,27047,CERO,Áreas no urbanas,0,Lugo,1551,29,0,0,NA,4.01,NA
A Pobra do Brollón,27047,DISTINTIVO B,Áreas no urbanas,2,Lugo,1551,29,6.9,1.29,8,11.64,-3.64
A Pobra do Brollón,27047,DISTINTIVO C,Áreas no urbanas,0,Lugo,1551,29,0,0,NA,4.09,NA
A Pobra do Brollón,27047,ECO,Áreas no urbanas,0,Lugo,1551,29,0,0,NA,3.95,NA
A Pobra do Brollón,27047,SIN DISTINTIVO,Áreas no urbanas,27,Lugo,1551,29,93.1,17.41,19.52,19.31,0.21
A Pobra do Caramiñal,15067,CERO,Áreas no urbanas,0,A Coruña,9290,103,0,0,NA,4.01,NA
A Pobra do Caramiñal,15067,DISTINTIVO B,Áreas no urbanas,7,A Coruña,9290,103,6.8,0.75,13.43,11.64,1.79
A Pobra do Caramiñal,15067,DISTINTIVO C,Áreas no urbanas,16,A Coruña,9290,103,15.53,1.72,3.94,4.09,-0.15
A Pobra do Caramiñal,15067,ECO,Áreas no urbanas,0,A Coruña,9290,103,0,0,NA,3.95,NA
A Pobra do Caramiñal,15067,SIN DISTINTIVO,Áreas no urbanas,80,A Coruña,9290,103,77.67,8.61,19.35,19.31,0.04
A Pontenova,27048,CERO,Áreas no urbanas,0,Lugo,2191,88,0,0,NA,4.01,NA
