recuento,fecuencia_supera,tipo,temp,date,indicativo,inicio_serie
1153,58.9,Máximas,11.6,01-01,1495,1956-05-01
911,46.6,Minimas,5.6,01-01,1495,1956-05-01
299,14.3,Máximas,18.2,01-01,5796,1946-02-01
504,24.2,Minimas,7.5,01-01,5796,1946-02-01
625,24,Máximas,19,01-01,7228,1940-01-01
879,33.8,Minimas,5.6,01-01,7228,1940-01-01
139,32.2,Máximas,15.3,01-01,4511C,2007-07-09
74,17.1,Minimas,7.9,01-01,4511C,2007-07-09
43,8.4,Máximas,24.7,01-01,C659H,2002-05-01
197,38.1,Minimas,16.9,01-01,C659H,2002-05-01
160,31.6,Máximas,15.3,01-01,6106X,2001-01-01
121,24,Minimas,5.7,01-01,6106X,2001-01-01
147,20.6,Máximas,14.5,01-01,1078I,1997-04-01
332,46.5,Minimas,4,01-01,1078I,1997-04-01
386,48.6,Máximas,12.6,01-01,3526X,1989-02-01
557,70.2,Minimas,1.1,01-01,3526X,1989-02-01
209,19.4,Máximas,18,01-01,5910,1988-09-01
443,41.1,Minimas,6.9,01-01,5910,1988-09-01
869,50.2,Máximas,14.5,01-01,B893,1965-01-01
1300,75.2,Minimas,5.8,01-01,B893,1965-01-01
1031,40.9,Máximas,14.3,01-01,0076,1924-03-01
965,37.5,Minimas,5.6,01-01,0076,1924-03-01
773,26.2,Máximas,13.4,01-01,1024E,1928-01-01
763,25.7,Minimas,8,01-01,1024E,1928-01-01
100,22.7,Máximas,19.1,01-01,7002Y,2009-01-11
136,30.8,Minimas,9.4,01-01,7002Y,2009-01-11
62,12.5,Máximas,13.2,01-01,1037Y,2007-12-19
119,24,Minimas,4.4,01-01,1037Y,2007-12-19
310,56.6,Máximas,5.4,01-01,9990X,2002-01-01
188,34.3,Minimas,-1.3,01-01,9990X,2002-01-01
78,13.1,Máximas,22.9,01-01,C129Z,2000-01-22
87,14.6,Minimas,16.9,01-01,C129Z,2000-01-22
347,52.6,Máximas,10.1,01-01,3338,1997-01-04
346,52.4,Minimas,1.2,01-01,3338,1997-01-04
