cod_ine,cod_region_iso,nom_region_iso,indicativo,nom_mun,prov_isla,tmed,tmax,calor,anomalia_tmax,tmin,frio,anomalia_tmin,fecha,hora,nombre_clean
36039,713603,Miño de Pontevedra,1495,"Porriño, O",Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36040,713601,Rías Baixas,1484C,Portas,Pontevedra,9.95,14.5,el calor es normal,"+0,1",5.4,hace mucho frío,-2,2024-03-05,20:30:00,Pontevedra
36041,713601,Rías Baixas,1484,Poio,Pontevedra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36042,713603,Miño de Pontevedra,1495,Ponteareas,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36043,713601,Rías Baixas,1484C,Ponte Caldelas,Pontevedra,9.95,14.5,el calor es normal,"+0,1",5.4,hace mucho frío,-2,2024-03-05,20:30:00,Pontevedra
36044,713601,Rías Baixas,1484C,Pontecesures,Pontevedra,9.95,14.5,el calor es normal,"+0,1",5.4,hace mucho frío,-2,2024-03-05,20:30:00,Pontevedra
36045,713601,Rías Baixas,1495,Redondela,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36046,713601,Rías Baixas,1484,Ribadumia,Pontevedra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36047,713602,Interior de Ponteve,1700X,Rodeiro,Pontevedra,7.300000000000001,12.8,el calor es normal,"-0,3",1.8,hace frío,"-1,3",2024-03-05,20:30:00,O Carballiño
36048,713603,Miño de Pontevedra,1495,"Rosal, O",Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36049,713603,Miño de Pontevedra,1495,Salceda de Caselas,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36050,713603,Miño de Pontevedra,1495,Salvaterra de Miño,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36051,713601,Rías Baixas,1484,Sanxenxo,Pontevedra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
