fecha,indicativo,nombre_completo,provincia_clean,tmin,tmin_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-03-03,3100B,Aranjuez (Madrid),Madrid,0.4,4.2,-3.8,4.2,0.4,"-3,8", 3 mar.,▼,#2171b5
2024-03-03,3266A,Puerto Alto del León (Madrid),Madrid,-5.1,-0.6,-4.5,-0.6,-5.1,"-4,5", 3 mar.,▼,#2171b5
2024-03-03,3110C,Buitrago del Lozoya (Madrid),Madrid,0,1.1,-1.1,1.1,0,"-1,1", 3 mar.,▼,#2171b5
2024-03-03,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,5.1,NA,NA,NA,NA, 3 mar.,NA,NA
2024-03-03,3129,Madrid Aeropuerto (Madrid),Madrid,2,3.4,-1.4,3.4,2,"-1,4", 3 mar.,▼,#2171b5
2024-03-04,2462,Puerto de Navacerrada (Madrid),Madrid,-2.4,-2.8,0.4,-2.4,-2.8,"+0,4", 4 mar.,▲,#cb181d
2024-03-04,3111D,Somosierra (Madrid),Madrid,-0.3,-0.2,-0.1,-0.2,-0.3,"-0,1", 4 mar.,▼,#2171b5
2024-03-04,3195,"Madrid, Retiro (Madrid)",Madrid,6.1,5.4,0.7,6.1,5.4,"+0,7", 4 mar.,▲,#cb181d
2024-03-04,3191E,Colmenar Viejo (Madrid),Madrid,2.4,3.4,-1,3.4,2.4,-1, 4 mar.,▼,#2171b5
2024-03-04,3100B,Aranjuez (Madrid),Madrid,3.3,4.7,-1.4,4.7,3.3,"-1,4", 4 mar.,▼,#2171b5
2024-03-04,3266A,Puerto Alto del León (Madrid),Madrid,-1,-1.8,0.8,-1,-1.8,"+0,8", 4 mar.,▲,#cb181d
2024-03-04,3110C,Buitrago del Lozoya (Madrid),Madrid,4.3,0.7,3.6,4.3,0.7,"+3,6", 4 mar.,▲,#cb181d
2024-03-04,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,4.4,NA,NA,NA,NA, 4 mar.,NA,NA
