fecha,indicativo,nombre_completo,provincia_clean,tmax,tmax_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-03-08,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,17.5,NA,NA,NA,NA, 8 mar.,NA,NA
2024-03-08,3129,Madrid Aeropuerto (Madrid),Madrid,12.5,16.3,-3.8,16.3,12.5,"-3,8", 8 mar.,▼,#2171b5
2024-03-09,2462,Puerto de Navacerrada (Madrid),Madrid,-0.3,5.6,-5.9,5.6,-0.3,"-5,9", 9 mar.,▼,#2171b5
2024-03-09,3111D,Somosierra (Madrid),Madrid,1.3,8.2,-6.9,8.2,1.3,"-6,9", 9 mar.,▼,#2171b5
2024-03-09,3195,"Madrid, Retiro (Madrid)",Madrid,8.8,16,-7.2,16,8.8,"-7,2", 9 mar.,▼,#2171b5
2024-03-09,3191E,Colmenar Viejo (Madrid),Madrid,5.4,13.9,-8.5,13.9,5.4,"-8,5", 9 mar.,▼,#2171b5
2024-03-09,3100B,Aranjuez (Madrid),Madrid,10.4,18.5,-8.1,18.5,10.4,"-8,1", 9 mar.,▼,#2171b5
2024-03-09,3266A,Puerto Alto del León (Madrid),Madrid,1,7.7,-6.7,7.7,1,"-6,7", 9 mar.,▼,#2171b5
2024-03-09,3110C,Buitrago del Lozoya (Madrid),Madrid,7.5,13.1,-5.6,13.1,7.5,"-5,6", 9 mar.,▼,#2171b5
2024-03-09,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,17.5,NA,NA,NA,NA, 9 mar.,NA,NA
2024-03-09,3129,Madrid Aeropuerto (Madrid),Madrid,8.7,16.9,-8.2,16.9,8.7,"-8,2", 9 mar.,▼,#2171b5
2024-03-10,2462,Puerto de Navacerrada (Madrid),Madrid,-0.4,8.6,-9,8.6,-0.4,-9,10 mar.,▼,#2171b5
2024-03-10,3111D,Somosierra (Madrid),Madrid,2.9,10.8,-7.9,10.8,2.9,"-7,9",10 mar.,▼,#2171b5
2024-03-10,3195,"Madrid, Retiro (Madrid)",Madrid,12.7,17,-4.3,17,12.7,"-4,3",10 mar.,▼,#2171b5
2024-03-10,3191E,Colmenar Viejo (Madrid),Madrid,10,14.8,-4.8,14.8,10,"-4,8",10 mar.,▼,#2171b5
2024-03-10,3100B,Aranjuez (Madrid),Madrid,13.4,19,-5.6,19,13.4,"-5,6",10 mar.,▼,#2171b5
2024-03-10,3266A,Puerto Alto del León (Madrid),Madrid,2.8,9.8,-7,9.8,2.8,-7,10 mar.,▼,#2171b5
2024-03-10,3110C,Buitrago del Lozoya (Madrid),Madrid,9.3,15.1,-5.8,15.1,9.3,"-5,8",10 mar.,▼,#2171b5
2024-03-10,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,17.9,NA,NA,NA,NA,10 mar.,NA,NA
2024-03-10,3129,Madrid Aeropuerto (Madrid),Madrid,13.9,17.7,-3.8,17.7,13.9,"-3,8",10 mar.,▼,#2171b5
2024-03-11,2462,Puerto de Navacerrada (Madrid),Madrid,-0.3,8.2,-8.5,8.2,-0.3,"-8,5",11 mar.,▼,#2171b5
2024-03-11,3111D,Somosierra (Madrid),Madrid,6.1,10.8,-4.7,10.8,6.1,"-4,7",11 mar.,▼,#2171b5
2024-03-11,3195,"Madrid, Retiro (Madrid)",Madrid,13.9,17.1,-3.2,17.1,13.9,"-3,2",11 mar.,▼,#2171b5
2024-03-11,3191E,Colmenar Viejo (Madrid),Madrid,11.2,15,-3.8,15,11.2,"-3,8",11 mar.,▼,#2171b5
2024-03-11,3100B,Aranjuez (Madrid),Madrid,15.6,20.4,-4.8,20.4,15.6,"-4,8",11 mar.,▼,#2171b5
2024-03-11,3266A,Puerto Alto del León (Madrid),Madrid,4.4,8.1,-3.7,8.1,4.4,"-3,7",11 mar.,▼,#2171b5
2024-03-11,3110C,Buitrago del Lozoya (Madrid),Madrid,9.8,15.8,-6,15.8,9.8,-6,11 mar.,▼,#2171b5
