Series,Localidad,Administración,Recep.,Domicilio,Provincia,Teléfono,Calle,Número,Premio,Valor,Dirección,Latitude,Longitude,premios_serie
0.1,CASTELLTERÇOL,,13020,"CRTA. BARCELONA, 6",BARCELONA,938668184,"Crta. Barcelona, 6",88979,5º Premio,"6,000","Crta. Barcelona, 6, Castellterçol, Barcelona",41.7498986,2.1234488,6000
0.1,CORNELLÀ DE LLOBREGAT,13,15695,C.C. HIPERCOR-SALVADOR DALI 15-19,BARCELONA,933777075,C.C. Hipercor-Salvador Dali 15-19,88979,5º Premio,"6,000","C.C. Hipercor-Salvador Dali 15-19, Cornellà De Llobregat, Barcelona",41.3544343,2.0885902,6000
0.1,CORNELLÀ DE LLOBREGAT,6,15955,"DOCTOR ARUS, 11",BARCELONA,933761346,"Doctor Arus, 11",88979,5º Premio,"6,000","Doctor Arus, 11, Cornellà De Llobregat, Barcelona",41.3612278,2.0838085,6000
0.1,FLORIDA (LA),,12665,"NUEVE, 22",BARCELONA,617228815,"Nueve, 22",88979,5º Premio,"6,000","Nueve, 22, Florida (La), Barcelona",27.6648274,-81.5157535,6000
0.1,IGUALADA,3,12060,Po  MOSSEN JACINT VERDAGUER 169,BARCELONA,938042701,Po  Mossen Jacint Verdaguer 169,88979,5º Premio,"6,000","Po  Mossen Jacint Verdaguer 169, Igualada, Barcelona",41.5784544,1.6295001,6000
0.1,MOLINS DE REI,4,15800,"CARRIL, 27",BARCELONA,936801272,"Carril, 27",88979,5º Premio,"6,000","Carril, 27, Molins De Rei, Barcelona",41.4134488,2.0182425,6000
0.1,MONTGAT,1,9600,"C.C. MERCAT DE MONTGAT, EI 03 PZA. DE LA MARE, S/N",BARCELONA,933221173,"C.C. Mercat De Montgat, Ei 03 Pza. De La Mare, S/N",88979,5º Premio,"6,000","C.C. Mercat De Montgat, Ei 03 Pza. De La Mare, S/N, Montgat, Barcelona",41.4716845,2.2845067,6000
0.1,SANT ANDREU DE LA BARCA,,12150,"DE LA FONT, 4",BARCELONA,936822274,"De La Font, 4",88979,5º Premio,"6,000","De La Font, 4, Sant Andreu De La Barca, Barcelona",41.4470241,1.9728327,6000
0.1,TERRASSA,13,12795,"C.C. CARREFOUR, L-12  AUTOPISTA C-58, KM 17,8",BARCELONA,937310066,"C.C. Carrefour, L-12  Autopista C-58, Km 17,8",88979,5º Premio,"6,000","C.C. Carrefour, L-12  Autopista C-58, Km 17,8, Terrassa, Barcelona",41.528903,2.0895049,6000
0.1,TERRASSA,,14385,"PLACETA SARAGOSSA, 3",BARCELONA,675586252,"Placeta Saragossa, 3",88979,5º Premio,"6,000","Placeta Saragossa, 3, Terrassa, Barcelona",41.5650143,2.0123407,6000
0.1,TORRETA (LA),,13040,"COSTA BRAVA, 97",BARCELONA,938793007,"Costa Brava, 97",88979,5º Premio,"6,000","Costa Brava, 97, Torreta (La), Barcelona",41.3873974,2.168568,6000
0.1,VILAFRANCA DEL PENEDÈS,,11890,"TARRAGONA, 7",BARCELONA,938900561,"Tarragona, 7",88979,5º Premio,"6,000","Tarragona, 7, Vilafranca Del Penedès, Barcelona",41.3438701,1.6982626,6000
0.1,VILAFRANCA DEL PENEDÈS,1,11940,"LA PARELLADA, 28-30",BARCELONA,938920895,"La Parellada, 28-30",88979,5º Premio,"6,000","La Parellada, 28-30, Vilafranca Del Penedès, Barcelona",41.3463498,1.6997374,6000
0.1,VILANOVA I LA GELTRÚ,6,11785,"RAMBLA JOSEP TOMAS  VENTOSA,  21",BARCELONA,938151345,"Rambla Josep Tomas  Ventosa,  21",88979,5º Premio,"6,000","Rambla Josep Tomas  Ventosa,  21, Vilanova I La Geltrú, Barcelona",41.2211232,1.727593,6000
0.1,AGIRRE-APERRIBAI,,16260,APERRIBAI 4 - A,BIZKAIA,946009544,Aperribai 4 - A,88979,5º Premio,"6,000","Aperribai 4 - A, Agirre-Aperribai, Bizkaia",43.24033,-2.8734651,6000
0.1,AMOREBIETA,,16180,"IBAIZABAL,S/N",BIZKAIA,946733955,"Ibaizabal,S/N",88979,5º Premio,"6,000","Ibaizabal,S/N, Amorebieta, Bizkaia",43.2196681,-2.7348028,6000
0.1,BILBAO,8,17715,"ARENAL, 1",BIZKAIA,944152036,"Arenal, 1",88979,5º Premio,"6,000","Arenal, 1, Bilbao, Bizkaia",43.2620013,-2.9226868,6000
0.1,DERIO,,16785,"HERRIKO PLAZA, 2",BIZKAIA,944542014,"Herriko Plaza, 2",88979,5º Premio,"6,000","Herriko Plaza, 2, Derio, Bizkaia",43.291115,-2.8867858,6000
0.1,LEIOA,4,16810,"C.C. ARTEA, BARRIO PERURI, 33 L- B-74 B",BIZKAIA,944913960,"C.C. Artea, Barrio Peruri, 33 L- B-74 B",88979,5º Premio,"6,000","C.C. Artea, Barrio Peruri, 33 L- B-74 B, Leioa, Bizkaia",43.3366037,-2.9882918,6000
0.1,LEIOA,3,16610,"C.C. EROSKI LEIOA-AVDA.IPARRAGUIRRE, 110",BIZKAIA,944806865,"C.C. Eroski Leioa-Avda.Iparraguirre, 110",88979,5º Premio,"6,000","C.C. Eroski Leioa-Avda.Iparraguirre, 110, Leioa, Bizkaia",43.3177767,-2.9742196,6000
0.1,ONDARROA,,16245,"ALAMEDA NAFARROA ZUMARDIA, S/N",BIZKAIA,946831319,"Alameda Nafarroa Zumardia, S/N",88979,5º Premio,"6,000","Alameda Nafarroa Zumardia, S/N, Ondarroa, Bizkaia",43.323022,-2.422308,6000
0.1,URDULIZ,,16665,"NAPARROA, 6",BIZKAIA,946760765,"Naparroa, 6",88979,5º Premio,"6,000","Naparroa, 6, Urduliz, Bizkaia",43.3783008,-2.9582638,6000
0.1,ARANDA DE DUERO,,18325,"JUAN DE PADILLA, 1",BURGOS,947508665,"Juan De Padilla, 1",88979,5º Premio,"6,000","Juan De Padilla, 1, Aranda De Duero, Burgos",41.6819147,-3.682608,6000
0.1,BURGOS,,18165,"CONDESA MENCIA, 143",BURGOS,947229412,"Condesa Mencia, 143",88979,5º Premio,"6,000","Condesa Mencia, 143, Burgos, Burgos",42.3604171,-3.6786607,6000
0.1,CÁCERES,8,19005,"CATEDRATICO ANTONIO SILVA,2",CÁCERES,927211042,"Catedratico Antonio Silva,2",88979,5º Premio,"6,000","Catedratico Antonio Silva,2, Cáceres, Cáceres",39.469722,-6.3775036,6000
0.1,MALPARTIDA DE PLASENCIA,,19930,"AUTOVÍA A 66, KM 494. ÁREA DE SERVICIO EL CALDERO",CÁCERES,927453398,"Autovía A 66, Km 494. Área De Servicio El Caldero",88979,5º Premio,"6,000","Autovía A 66, Km 494. Área De Servicio El Caldero, Malpartida De Plasencia, Cáceres",39.8830958,-6.2760118,6000
0.1,NAVALMORAL DE LA MATA,2,20580,"ZARAGOZA, 9",CÁCERES,927532323,"Zaragoza, 9",88979,5º Premio,"6,000","Zaragoza, 9, Navalmoral De La Mata, Cáceres",39.8916181,-5.5399303,6000
0.1,PLASENCIA,5,20545,"C.C. CARREFOUR PLASENCIA JULIAN BESTEIRO, S/N L-5",CÁCERES,927044316,"C.C. Carrefour Plasencia Julian Besteiro, S/N L-5",88979,5º Premio,"6,000","C.C. Carrefour Plasencia Julian Besteiro, S/N L-5, Plasencia, Cáceres",40.038481,-6.0786109,6000
0.1,TRUJILLO,,19615,"AVDA. MIAJADAS, 1",CÁCERES,927320338,"Avda. Miajadas, 1",88979,5º Premio,"6,000","Avda. Miajadas, 1, Trujillo, Cáceres",39.45679,-5.88159,6000
0.1,ÁNGELES (LOS),,22760,"LOS ANGELES, 13",CÁDIZ,956640168,"Los Angeles, 13",88979,5º Premio,"6,000","Los Angeles, 13, Ángeles (Los), Cádiz",36.421278,-5.435833,6000
0.1,CÁDIZ,,21060,"AVENIDA DEL PERU, No 12",CÁDIZ,956258758,"Avenida Del Peru, No 12",88979,5º Premio,"6,000","Avenida Del Peru, No 12, Cádiz, Cádiz",36.5181577,-6.2768733,6000
0.1,CHICLANA DE LA FRONTERA,,21600,"C.C. EROSKI CTRA. NACIONAL 340- KM 3,6 L-12",CÁDIZ,956532684,"C.C. Eroski Ctra. Nacional 340- Km 3,6 L-12",88979,5º Premio,"6,000","C.C. Eroski Ctra. Nacional 340- Km 3,6 L-12, Chiclana De La Frontera, Cádiz",36.3823586,-6.1156289,6000
