cod_mun,municipio,provincia,Alemania,EE.UU.,Francia,Italia,Otros,Países Bajos,Reino Unido,turistas
41023,Cantillana,Sevilla,338.0,61.0,642.0,0.0,251.0,616.0,142.0,2050.0
41024,Carmona,Sevilla,3170.0,1490.0,5016.0,1206.0,9134.0,4528.0,2326.0,26870.0
41025,Carrión de los Céspedes,Sevilla,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0
41027,Castilblanco de los Arroyos,Sevilla,360.0,0.0,586.0,0.0,0.0,375.0,151.0,1472.0
41029,Castilleja de la Cuesta,Sevilla,31.0,0.0,553.0,0.0,206.0,852.0,139.0,1781.0
41031,"Castillo de las Guardas, El",Sevilla,0.0,0.0,134.0,0.0,34.0,80.0,0.0,248.0
41032,Cazalla de la Sierra,Sevilla,0.0,0.0,38.0,0.0,0.0,163.0,124.0,325.0
41033,Constantina,Sevilla,505.0,0.0,679.0,0.0,0.0,1689.0,111.0,2984.0
41034,Coria del Río,Sevilla,1030.0,62.0,1519.0,30.0,1881.0,902.0,522.0,5946.0
41036,"Coronil, El",Sevilla,0.0,0.0,33.0,0.0,143.0,32.0,46.0,254.0
41037,"Corrales, Los",Sevilla,0.0,0.0,112.0,0.0,0.0,190.0,0.0,302.0
